Player,Short Name,Player ID,Birthdate,Team,Team ID,Match,Match ID,Date,Competition,Competition ID,Season,Season ID,Competition Edition ID,Position,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,PSV-99,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Time to HSR Post-COD,Explosive Acceleration to Sprint Count,Time to Sprint,Time to Sprint Post-COD,Change of Direction Count,Time to 505 - Around 90,Time to 505 - Around 180,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP,Explosive Acceleration to HSR Count TIP,Explosive Acceleration to Sprint Count TIP,Change of Direction Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Change of Direction Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Change of Direction Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP,Explosive Acceleration to HSR Count 1 TIP,Explosive Acceleration to Sprint Count 1 TIP,Change of Direction Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Change of Direction Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Change of Direction Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP,Explosive Acceleration to HSR Count 2 TIP,Explosive Acceleration to Sprint Count 2 TIP,Change of Direction Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP,Change of Direction Count 2 OTIP
Shinya Yajima,S. Yajima,26863,1994-01-18,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Winger,Wide Attacker,71.02,22.05,16.07,47.12,14.75,10.25,23.9,7.3,5.82,True,8188.0,115.29,1679.0,544.0,54.0,37.0,4.0,581.0,58.0,26.0,118.0,8.0,90.0,18.0,3.0,0.74,0.85,1.0,1.61,1.61,55.0,1.73,2.76,3313.0,150.25,849.0,301.0,26.0,3.0,1.0,304.0,27.0,53.0,3.0,37.0,8.0,1.0,0.0,23.0,2607.0,162.23,709.0,235.0,25.0,25.0,1.0,260.0,26.0,39.0,3.0,25.0,5.0,2.0,0.0,30.0,5483.0,116.36,1073.0,305.0,35.0,14.0,2.0,319.0,37.0,83.0,5.0,61.0,11.0,1.0,0.0,34.0,2210.0,149.83,540.0,166.0,18.0,0.0,1.0,166.0,19.0,37.0,2.0,27.0,6.0,0.0,0.0,16.0,1669.0,162.83,453.0,134.0,15.0,5.0,0.0,139.0,15.0,30.0,1.0,19.0,2.0,0.0,0.0,17.0,2705.0,113.18,606.0,239.0,19.0,23.0,2.0,262.0,21.0,35.0,3.0,29.0,7.0,2.0,1.0,21.0,1103.0,151.1,309.0,135.0,8.0,3.0,0.0,138.0,8.0,16.0,1.0,10.0,2.0,1.0,0.0,7.0,938.0,161.17,256.0,101.0,10.0,20.0,1.0,121.0,11.0,9.0,2.0,6.0,3.0,1.0,0.0,13.0
Fumiya Takayanagi,F. Takayanagi,727387,2000-10-04,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Midfield,Midfield,97.98,27.73,24.25,47.12,14.75,10.25,50.87,12.98,14.0,True,11175.0,114.05,1980.0,631.0,58.0,220.0,10.0,851.0,68.0,29.0,121.0,5.0,113.0,16.0,3.0,0.73,,1.0,1.4,,53.0,1.85,3.16,4346.0,156.73,852.0,399.0,34.0,145.0,7.0,544.0,41.0,41.0,2.0,42.0,6.0,2.0,1.0,25.0,3840.0,158.35,983.0,224.0,21.0,52.0,2.0,276.0,23.0,49.0,2.0,34.0,5.0,1.0,0.0,23.0,5468.0,116.04,980.0,345.0,32.0,138.0,7.0,483.0,39.0,64.0,2.0,58.0,7.0,2.0,1.0,32.0,2285.0,154.92,416.0,204.0,20.0,102.0,5.0,306.0,25.0,22.0,1.0,25.0,3.0,1.0,0.0,15.0,1661.0,162.05,497.0,133.0,10.0,24.0,1.0,157.0,11.0,23.0,1.0,15.0,2.0,0.0,0.0,14.0,5707.0,112.19,1000.0,286.0,26.0,82.0,3.0,368.0,29.0,57.0,3.0,55.0,9.0,1.0,0.0,21.0,2061.0,158.78,436.0,195.0,14.0,43.0,2.0,238.0,16.0,19.0,1.0,17.0,3.0,0.0,0.0,10.0,2179.0,155.64,486.0,91.0,11.0,28.0,1.0,119.0,12.0,26.0,1.0,19.0,3.0,0.0,0.0,9.0
Itto Fujita,I. Fujita,798067,1999-06-30,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Wing Back,Full Back,14.45,2.3,4.93,0.0,0.0,0.0,14.45,2.3,4.93,True,1602.0,110.87,176.0,79.0,9.0,61.0,2.0,140.0,11.0,32.9,20.0,2.0,16.0,3.0,2.0,0.8,,0.0,,,5.0,2.62,,343.0,149.13,44.0,35.0,2.0,26.0,0.0,61.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,653.0,132.45,96.0,30.0,4.0,27.0,0.0,57.0,4.0,12.0,0.0,7.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.0,110.87,176.0,79.0,9.0,61.0,2.0,140.0,11.0,20.0,2.0,16.0,3.0,2.0,0.0,5.0,343.0,149.13,44.0,35.0,2.0,26.0,0.0,61.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,653.0,132.45,96.0,30.0,4.0,27.0,0.0,57.0,4.0,12.0,0.0,7.0,1.0,0.0,0.0,2.0
Masaki Kaneura,M. Kaneura,798164,1999-12-10,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Center Back,Central Defender,97.98,27.73,24.25,47.12,14.75,10.25,50.87,12.98,14.0,True,10491.0,107.07,1499.0,334.0,30.0,15.0,2.0,349.0,32.0,24.9,122.0,5.0,100.0,13.0,2.0,1.09,,1.0,2.23,,30.0,2.35,3.02,3541.0,127.7,465.0,89.0,10.0,3.0,0.0,92.0,10.0,36.0,1.0,31.0,2.0,0.0,0.0,6.0,3525.0,145.36,720.0,231.0,18.0,12.0,0.0,243.0,18.0,46.0,3.0,31.0,3.0,2.0,1.0,20.0,5047.0,107.11,701.0,150.0,15.0,10.0,1.0,160.0,16.0,61.0,2.0,46.0,8.0,0.0,0.0,16.0,1842.0,124.88,245.0,46.0,6.0,3.0,0.0,49.0,6.0,19.0,0.0,16.0,2.0,0.0,0.0,3.0,1525.0,148.78,303.0,100.0,9.0,7.0,0.0,107.0,9.0,19.0,1.0,11.0,1.0,0.0,0.0,9.0,5444.0,107.02,798.0,184.0,15.0,5.0,1.0,189.0,16.0,61.0,3.0,54.0,5.0,2.0,1.0,14.0,1699.0,130.89,220.0,43.0,4.0,0.0,0.0,43.0,4.0,17.0,1.0,15.0,0.0,0.0,0.0,3.0,2000.0,142.86,417.0,131.0,9.0,5.0,0.0,136.0,9.0,27.0,2.0,20.0,2.0,2.0,1.0,11.0
Takumi  Kawamura,T. Kawamura,798287,2000-09-13,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Wing Back,Full Back,83.53,25.43,19.32,47.12,14.75,10.25,36.42,10.68,9.07,True,9670.0,115.77,1501.0,708.0,65.0,194.0,12.0,902.0,77.0,27.5,113.0,9.0,97.0,21.0,8.0,0.89,0.89,3.0,1.69,1.69,50.0,1.85,2.79,3706.0,145.73,674.0,466.0,43.0,132.0,8.0,598.0,51.0,49.0,3.0,42.0,5.0,3.0,2.0,20.0,2925.0,151.4,612.0,206.0,20.0,40.0,3.0,246.0,23.0,37.0,2.0,28.0,9.0,2.0,0.0,23.0,5574.0,118.29,881.0,421.0,37.0,83.0,5.0,504.0,42.0,73.0,7.0,60.0,16.0,7.0,2.0,24.0,2137.0,144.88,419.0,269.0,27.0,63.0,4.0,332.0,31.0,34.0,2.0,31.0,4.0,2.0,1.0,11.0,1544.0,150.63,341.0,123.0,10.0,0.0,1.0,123.0,11.0,20.0,1.0,16.0,8.0,1.0,0.0,10.0,4096.0,112.47,620.0,287.0,28.0,111.0,7.0,398.0,35.0,40.0,2.0,37.0,5.0,1.0,1.0,26.0,1569.0,146.91,255.0,197.0,16.0,69.0,4.0,266.0,20.0,15.0,1.0,11.0,1.0,0.0,0.0,9.0,1381.0,152.26,271.0,83.0,10.0,40.0,2.0,123.0,12.0,17.0,1.0,12.0,1.0,1.0,0.0,13.0
Haruki Oshima,H. Oshima,929174,2000-07-11,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Back,Central Defender,14.45,2.3,4.93,0.0,0.0,0.0,14.45,2.3,4.93,True,1387.0,95.99,175.0,49.0,5.0,5.0,1.0,54.0,6.0,25.9,17.0,2.0,16.0,2.0,1.0,0.81,0.81,0.0,,,3.0,,,283.0,123.04,55.0,3.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,600.0,121.7,79.0,38.0,4.0,0.0,0.0,38.0,4.0,11.0,1.0,5.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387.0,95.99,175.0,49.0,5.0,5.0,1.0,54.0,6.0,17.0,2.0,16.0,2.0,1.0,0.0,3.0,283.0,123.04,55.0,3.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,600.0,121.7,79.0,38.0,4.0,0.0,0.0,38.0,4.0,11.0,1.0,5.0,1.0,0.0,0.0,2.0
Hayato Nukui,H. Nukui,929234,1996-11-14,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Left Center Back,Central Defender,97.98,27.73,24.25,47.12,14.75,10.25,50.87,12.98,14.0,True,9975.0,101.81,1217.0,352.0,41.0,201.0,7.0,553.0,48.0,29.5,118.0,6.0,93.0,14.0,4.0,0.93,0.93,4.0,1.85,1.85,26.0,2.78,3.14,3479.0,125.46,550.0,133.0,16.0,109.0,3.0,242.0,19.0,36.0,0.0,32.0,2.0,0.0,0.0,8.0,3409.0,140.58,508.0,205.0,22.0,72.0,3.0,277.0,25.0,52.0,3.0,35.0,4.0,3.0,3.0,16.0,4827.0,102.44,526.0,170.0,20.0,116.0,4.0,286.0,24.0,52.0,3.0,48.0,4.0,3.0,3.0,8.0,1851.0,125.49,265.0,82.0,9.0,92.0,2.0,174.0,11.0,21.0,0.0,22.0,1.0,0.0,0.0,2.0,1498.0,146.15,225.0,81.0,8.0,19.0,1.0,100.0,9.0,21.0,1.0,15.0,1.0,0.0,0.0,6.0,5148.0,101.2,691.0,182.0,21.0,85.0,3.0,267.0,24.0,66.0,3.0,45.0,10.0,1.0,1.0,18.0,1628.0,125.42,285.0,51.0,7.0,17.0,1.0,68.0,8.0,15.0,0.0,10.0,1.0,0.0,0.0,6.0,1911.0,136.5,283.0,124.0,14.0,53.0,2.0,177.0,16.0,31.0,2.0,20.0,3.0,1.0,1.0,10.0
Naoto Miki,N. Miki,929240,2001-05-08,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,78.6,24.42,17.25,47.12,14.75,10.25,31.48,9.67,7.0,True,9340.0,118.83,1586.0,709.0,58.0,221.0,8.0,930.0,66.0,28.3,104.0,10.0,84.0,21.0,7.0,0.84,0.84,1.0,1.72,,70.0,2.03,2.88,3855.0,157.86,899.0,377.0,32.0,93.0,5.0,470.0,37.0,47.0,3.0,33.0,7.0,2.0,0.0,38.0,2872.0,166.49,538.0,285.0,24.0,97.0,3.0,382.0,27.0,33.0,2.0,23.0,6.0,2.0,0.0,25.0,5613.0,119.12,904.0,426.0,32.0,75.0,4.0,501.0,36.0,62.0,7.0,45.0,15.0,5.0,1.0,44.0,2281.0,154.64,527.0,222.0,19.0,38.0,3.0,260.0,22.0,29.0,2.0,20.0,5.0,1.0,0.0,24.0,1682.0,164.1,296.0,166.0,13.0,19.0,1.0,185.0,14.0,18.0,1.0,13.0,5.0,1.0,0.0,16.0,3727.0,118.39,682.0,283.0,26.0,146.0,4.0,429.0,30.0,42.0,3.0,39.0,6.0,2.0,0.0,26.0,1574.0,162.77,372.0,155.0,13.0,55.0,2.0,210.0,15.0,18.0,1.0,13.0,2.0,0.0,0.0,14.0,1190.0,170.0,242.0,119.0,11.0,78.0,2.0,197.0,13.0,15.0,1.0,10.0,1.0,1.0,0.0,9.0
Hideatsu Ozawa,H. Ozawa,929245,1999-04-28,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Center Forward,Center Forward,19.38,3.32,7.0,0.0,0.0,0.0,19.38,3.32,7.0,True,2362.0,121.88,393.0,145.0,16.0,36.0,2.0,181.0,18.0,27.4,27.0,2.0,22.0,4.0,1.0,0.8,0.87,0.0,,,12.0,2.79,3.12,517.0,155.72,150.0,68.0,5.0,5.0,1.0,73.0,6.0,7.0,1.0,4.0,1.0,1.0,0.0,4.0,1056.0,150.86,191.0,66.0,8.0,21.0,1.0,87.0,9.0,18.0,1.0,11.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2362.0,121.88,393.0,145.0,16.0,36.0,2.0,181.0,18.0,27.0,2.0,22.0,4.0,1.0,0.0,12.0,517.0,155.72,150.0,68.0,5.0,5.0,1.0,73.0,6.0,7.0,1.0,4.0,1.0,1.0,0.0,4.0,1056.0,150.86,191.0,66.0,8.0,21.0,1.0,87.0,9.0,18.0,1.0,11.0,1.0,0.0,0.0,8.0
Atsuki Tojo,A. Tojo,929248,2000-12-28,Gainare Tottori,4086,Giravanz Kitaky - Gainare Tottori,2052912,2026-02-07,J2/J3 100 Year Vision League,601,2026,130,1426,Right Winger,Wide Attacker,97.98,27.73,24.25,47.12,14.75,10.25,50.87,12.98,14.0,True,10814.0,110.37,1741.0,571.0,60.0,155.0,8.0,726.0,68.0,28.5,126.0,12.0,95.0,34.0,9.0,0.86,0.98,0.0,,,55.0,2.34,3.0,3872.0,139.63,737.0,235.0,22.0,95.0,3.0,330.0,25.0,42.0,3.0,29.0,9.0,2.0,0.0,23.0,3767.0,155.34,898.0,331.0,36.0,44.0,3.0,375.0,39.0,47.0,6.0,31.0,11.0,4.0,0.0,30.0,5270.0,111.84,920.0,309.0,33.0,74.0,5.0,383.0,38.0,59.0,6.0,51.0,15.0,5.0,0.0,29.0,2032.0,137.76,408.0,129.0,13.0,46.0,2.0,175.0,15.0,21.0,2.0,18.0,4.0,2.0,0.0,14.0,1625.0,158.54,447.0,178.0,18.0,18.0,2.0,196.0,20.0,18.0,3.0,14.0,5.0,2.0,0.0,14.0,5544.0,108.98,821.0,262.0,27.0,81.0,3.0,343.0,30.0,67.0,6.0,44.0,19.0,3.0,0.0,26.0,1840.0,141.76,329.0,106.0,9.0,49.0,1.0,155.0,10.0,21.0,1.0,11.0,5.0,0.0,0.0,9.0,2142.0,153.0,451.0,153.0,18.0,26.0,1.0,179.0,19.0,29.0,3.0,17.0,6.0,2.0,0.0,16.0
