対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,温井　駿斗,Hayato Nukui,DF,Central Defender,6466.0,5705.17,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Hayato Nukui,鳥取,2025|鳥取|3333.08; 2024|鳥取|2372.09,鳥取,2024|鳥取|3325.00; 2025|鳥取|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,黒木　謙吾,Kengo  Kuroki,DF,Central Defender,6434.0,6069.53,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Kengo Kuroki,宮崎,2025|宮崎|3791.72; 2024|宮崎|2277.81,宮崎,2024|宮崎|3154.00; 2025|宮崎|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,蓑田　広大,Kodai  Minoda,DF,Central Defender,6420.0,5642.4800000000005,CB,センターバック,Center Back (Position Group: Central Defender),Center Back,Central Defender,Kodai Minoda,八戸,2025|八戸|3638.73; 2024|八戸|2003.75,八戸,2024|八戸|3091.00; 2025|八戸|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鈴木　順也,Junya Suzuki,DF,Central Defender,6375.0,5649.47,CB,センターバック,Center Back (Position Group: Central Defender),Center Back,Central Defender,Junya Suzuki,琉球,2025|琉球|3262.71; 2024|琉球|2386.76,琉球,2024|琉球|3405.00; 2025|琉球|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,辻岡　佑真,Yuma  Tsujioka,DF,Central Defender,6203.0,5597.88,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Yuma Tsujioka,北九州,2025|北九州|3396.75; 2024|宮崎|2201.13,宮崎,2024|宮崎|3039.00; 2025|北九州|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鈴木　大誠,Daisei Suzuki,DF,Central Defender,5943.0,5455.63,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Daisei Suzuki,奈良,2025|奈良|2977.68; 2024|奈良|2477.95,奈良,2024|奈良|3165.00; 2025|奈良|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,附木　雄也,Yuya Tsukegi,DF,Central Defender,5940.0,5827.81,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Yuya Tsukegi,讃岐,2025|讃岐|3749.06; 2024|沼津|2078.75,沼津,2024|沼津|2520.00; 2025|讃岐|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,加藤　大育,Daisuke Kato,DF,Central Defender,5884.0,5469.4800000000005,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Daisuke Kato,相模原,2025|相模原|3609.39; 2024|相模原|1860.09,相模原,2024|相模原|2693.00; 2025|相模原|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,杉山　耕二,Koji  Sugiyama,DF,Central Defender,5569.0,5389.61,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Koji Sugiyama,北九州,2025|北九州|2802.90; 2024|北九州|2586.71,北九州,2024|北九州|3047.00; 2025|北九州|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,秋山　拓也,Takuya Akiyama,DF,Central Defender,5140.0,5377.29,CB,センターバック,Left Center Back (Position Group: Central Defender),Left Center Back,Central Defender,Takuya Akiyama,FC大阪,2025|FC大阪|3210.34; 2024|FC大阪|2166.95,FC大阪,2024|FC大阪|2321.00; 2025|FC大阪|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,川上　竜,Ryu Kawakami,MF,Central Defender,5102.0,5067.5700000000015,CB,センターバック,Right Center Back (Position Group: Central Defender),Right Center Back,Central Defender,Ryu Kawakami,FC大阪,2025|FC大阪|3799.13; 2024|岐阜|1268.44,岐阜,2024|岐阜|1756.00; 2025|FC大阪|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Taisuke Mizuno
