対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,針谷　岳晃,Takeaki Harigaya,MF,Midfield,5325.0,4868.84,CMF,セントラルMF,Center Midfield (Position Group: Midfield),Center Midfield,Midfield,Takeaki Harigaya,福島,2025|福島|2977.59; 2024|福島|1891.25,福島,2024|福島|2550.00; 2025|福島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,安田　虎士朗,Kojiro Yasuda,MF,Midfield,5255.0,4959.65,CMF,セントラルMF,Right Defensive Midfield (Position Group: Midfield),Right Defensive Midfield,Midfield,Kojiro Yasuda,宮崎,2025|宮崎|3341.86; 2024|宮崎|1617.79,宮崎,2024|宮崎|2362.00; 2025|宮崎|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,力安　祥伍,Shogo Rikiyasu,MF,Midfield,4899.0,4554.16,CMF,セントラルMF,Left Defensive Midfield (Position Group: Midfield),Left Defensive Midfield,Midfield,Shogo Rikiyasu,宮崎,2025|宮崎|2748.27; 2024|宮崎|1805.89,宮崎,2024|宮崎|2420.00; 2025|宮崎|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,佐藤　祐太,Yuta Sato,MF,Midfield,4876.0,4017.54,CMF,セントラルMF,Right Defensive Midfield (Position Group: Midfield),Right Defensive Midfield,Midfield,Yuta Sato,琉球,2025|琉球|2044.48; 2024|琉球|1973.06,琉球,2024|琉球|2978.00; 2025|琉球|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,高吉　正真,Shoma Takayoshi,MF,Midfield,4869.0,4463.65,CMF,セントラルMF,RDM (Position Group: Midfield),RDM,Midfield,Shoma Takayoshi,北九州,2024|北九州|2386.98; 2025|北九州|2076.67,北九州,2024|北九州|2927.00; 2025|北九州|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,神垣　陸,Riku Kamigaki,MF,Midfield,4809.0,4858.19,CMF,セントラルMF,Right Defensive Midfield (Position Group: Midfield),Right Defensive Midfield,Midfield,Riku Kamigaki,奈良,2025|奈良|3069.27; 2024|奈良|1788.92,奈良,2024|奈良|1903.00; 2025|奈良|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,堀内　颯人,Hayato Horiuchi,MF,Midfield,4744.0,3995.0,CMF,セントラルMF,Left Defensive Midfield (Position Group: Midfield),Left Defensive Midfield,Midfield,Hayato Horiuchi,奈良,2025|奈良|2313.47; 2024|奈良|1681.53,奈良,2024|奈良|2515.00; 2025|奈良|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,井澤　春輝,Haruki Izawa,MF,Midfield,4168.0,4064.1,CMF,セントラルMF,Left Defensive Midfield (Position Group: Midfield),Left Defensive Midfield,Midfield,Haruki Izawa,北九州,2025|北九州|2291.15; 2024|北九州|1772.95,北九州,2024|北九州|2000.00; 2025|北九州|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,前澤　甲気,Koki Maezawa,FW,Midfield,3409.0,2334.99,CMF,セントラルMF,DM (Position Group: Midfield),DM,Midfield,Koki Maezawa,八戸,2024|八戸|2334.99,八戸,2024|八戸|3409.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=review; issues元候補: Yosuke Kamigata
2024-2025,J3,菅井　拓也,Takuya Sugai,MF,Midfield,3212.0,3028.48,CMF,セントラルMF,DM (Position Group: Midfield),DM,Midfield,Takuya Sugai,沼津,2024|沼津|1982.42; 2025|沼津|1046.06,沼津,2024|沼津|2311.00; 2025|沼津|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
