対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,橋本　啓吾,Keigo Hashimoto,FW,Center Forward,6109.0,5545.37,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Keigo Hashimoto,宮崎,2025|宮崎|3318.84; 2024|宮崎|2226.53,宮崎,2024|宮崎|3123.00; 2025|宮崎|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,佐藤　碧,Aoi Sato,MF,Midfield,5024.0,4358.549999999999,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Aoi Sato,八戸,2025|八戸|3062.64; 2024|八戸|1295.91,八戸,2024|八戸|2111.00; 2025|八戸|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Koki Maezawa
2024-2025,J3,富樫　佑太,Yuta Togashi,FW,Center Forward,4414.0,3700.95,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Yuta Togashi,鳥取,2025|鳥取|2129.79; 2024|鳥取|1571.16,鳥取,2024|鳥取|2342.00; 2025|鳥取|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,西谷　亮,Ryo Nishitani,FW,Midfield,4330.0,4387.56,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Ryo Nishitani,岐阜,2025|岐阜|2688.92; 2024|岐阜|1698.64,岐阜,2024|岐阜|1846.00; 2025|岐阜|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08) / SC元データ名: Ryo  Nishitani
2024-2025,J3,永井　龍,Ryo Nagai,FW,Center Forward,4245.0,3628.58,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Ryo Nagai,北九州,2024|北九州|1947.41; 2025|北九州|1681.17,北九州,2024|北九州|2636.00; 2025|北九州|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,澤上　竜二,Ryuji Sawakami,FW,Center Forward,4206.0,4340.06,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Ryuji Sawakami,八戸,2025|八戸|3493.90; 2024|福島|846.16,福島,2024|福島|926.00; 2025|八戸|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,増田　隼司,Shunji Masuda,MF,Center Forward,4144.0,4161.650000000001,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Shunji Masuda,FC大阪,2025|FC大阪|2617.63; 2024|FC大阪|1544.02,FC大阪,2024|FC大阪|1686.00; 2025|FC大阪|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=high; issues元候補: Yuto Kokuryo
2024-2025,J3,島田　拓海,Takumi Shimada,FW,Center Forward,3800.0,3715.0,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Takumi Shimada,FC大阪,2025|FC大阪|2787.76; 2024|FC大阪|927.24,FC大阪,2024|FC大阪|1359.00; 2025|FC大阪|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,樋口　寛規,Hiroki Higuchi,FW,Center Forward,3704.0,3596.1,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Hiroki Higuchi,福島,2025|福島|2389.47; 2024|福島|1206.63,福島,2024|福島|1462.00; 2025|福島|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,浅川　隼人,Hayato Asakawa,FW,Center Forward,3480.0,3374.8,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Hayato Asakawa,松本,2024|松本|1922.43; 2025|琉球|936.82; 2025|松本|515.55,松本,2024|松本|2161.00; 2025|松本|0.00; 2025|琉球|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,浮田　健誠,Kensei Ukita,FW,Center Forward,3397.0,2825.92,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Kensei Ukita,長野,2024|長野|1676.88; 2025|長野|1149.04,長野,2024|長野|2381.00; 2025|長野|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,百田　真登,Manato Hyakuda,FW,Center Forward,3327.0,2637.23,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Manato Hyakuda,奈良,2025|奈良|1563.03; 2024|奈良|1074.20,奈良,2024|奈良|1889.00; 2025|奈良|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issues 手動確定 (2026-04-08)
2024-2025,J3,國武　勇斗,Yuto Kunitake,MF,Wide Attacker,3086.0,2574.8400000000006,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Yuto Kunitake,奈良,2024|奈良|1342.24; 2025|奈良|1232.60,奈良,2024|奈良|2070.00; 2025|奈良|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Riki Tomizu
2024-2025,J3,マルクス　ヴィニシウス,Marcus Vinicius Ferreira Teixeira,FW,Center Forward,3066.0,2338.28,FW,フォワード,CF (Position Group: Center Forward),CF,Center Forward,Marcus Vinicius Ferreira Teixeira,今治,2024|今治|2338.28,今治,2024|今治|3066.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,中野　誠也,Seiya Nakano,FW,Center Forward,3039.0,2972.56,FW,フォワード,Center Forward (Position Group: Center Forward),Center Forward,Center Forward,Seiya Nakano,八戸,2025|八戸|2373.92; 2024|沼津|442.68; 2024|大宮|155.96,沼津,2024|沼津|384.00; 2024|大宮|357.00; 2025|八戸|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
