対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,内田　瑞己,Mizuki  Uchida,DF,Full Back,6271.0,6025.2,SB,サイドバック,RWB (Position Group: Full Back),RWB,Full Back,Mizuki Uchida,讃岐,2025|讃岐|3433.02; 2024|讃岐|2592.18,讃岐,2024|讃岐|3102.00; 2025|讃岐|0.00,normalized,composite_normalized,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,音泉　翔眞,Shoma Otoizumi,MF,Full Back,6105.0,5434.25,SB,サイドバック,Right Wing Back (Position Group: Full Back),Right Wing Back,Full Back,Shoma Otoizumi,八戸,2025|八戸|3515.15; 2024|八戸|1919.10,八戸,2024|八戸|2844.00; 2025|八戸|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Koki Maezawa
2024-2025,J3,杉井　颯,Hayate Sugii,DF,Full Back,6035.0,5704.11,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Hayate Sugii,鹿児島,2025|鹿児島|3602.55; 2024|長野|2101.56,長野,2024|長野|2943.00; 2025|鹿児島|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,下川　陽太,Yota Shimokawa,DF,Full Back,5872.0,5531.89,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Yota Shimokawa,宮崎,2025|宮崎|3549.43; 2024|奈良|1982.46,奈良,2024|奈良|2775.00; 2025|宮崎|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,藤春　廣輝,Hiroki Fujiharu,DF,Full Back,5657.0,4872.12,SB,サイドバック,Left Back (Position Group: Full Back),Left Back,Full Back,Hiroki Fujiharu,琉球,2025|琉球|2740.68; 2024|琉球|2131.44,琉球,2024|琉球|3107.00; 2025|琉球|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,小澤　秀充,Hideatsu Ozawa,MF,Full Back,5391.0,4868.26,SB,サイドバック,LWB (Position Group: Full Back),LWB,Full Back,Hideatsu Ozawa,鳥取,2025|鳥取|2666.88; 2024|鳥取|2201.38,鳥取,2024|鳥取|2914.00; 2025|鳥取|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Taishi Tamashiro
2024-2025,J3,山脇　樺織,Kaoru Yamawaki,DF,Full Back,5236.0,4997.62,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Kaoru Yamawaki,北九州,2025|北九州|3428.59; 2024|北九州|1569.03,北九州,2024|北九州|2024.00; 2025|北九州|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,松本　雄真,Yuma Matsumoto,DF,Full Back,5208.0,5254.55,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Yuma Matsumoto,宮崎,2025|宮崎|3784.18; 2024|宮崎|1345.55; 2024|今治|124.82,宮崎,2024|宮崎|1419.00; 2024|今治|496.00; 2025|宮崎|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,鈴　直樹,Naoki Suzu,DF,Full Back,5172.0,5012.08,SB,サイドバック,Right Back (Position Group: Full Back),Right Back,Full Back,Naoki Suzu,福島,2024|福島|2537.11; 2025|福島|2474.97,福島,2024|福島|2882.00; 2025|福島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,安在　達弥,Tatsuya Anzai,DF,Full Back,5144.0,4890.24,SB,サイドバック,RB (Position Group: Full Back),RB,Full Back,Tatsuya Anzai,沼津,2024|沼津|2915.14; 2025|福島|1975.10,沼津,2024|沼津|3304.00; 2025|福島|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
