対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,西谷　優希,Yuki  Nishiya,MF,Midfield,6032.0,5705.68,SH,サイドハーフ,Right Midfield (Position Group: Midfield),Right Midfield,Midfield,Yuki Nishiya,金沢,2025|金沢|3314.69; 2024|金沢|2390.99,金沢,2024|金沢|3110.00; 2025|金沢|0.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,岡田　優希,Yuki Okada,MF,Wide Attacker,5942.0,5442.620000000001,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Yuki Okada,奈良,2025|奈良|2943.86; 2024|奈良|2498.76,奈良,2024|奈良|3129.00; 2025|奈良|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Riki Tomizu
2024-2025,J3,西村　恭史,Yasufumi Nishimura,MF,Midfield,5832.0,5144.04,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Yasufumi Nishimura,群馬,2025|群馬|3166.30; 2024|長野|1977.74,長野,2024|長野|2876.00; 2025|群馬|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,森　晃太,Kota Mori,MF,Wide Attacker,5763.0,5335.220000000001,SH,サイドハーフ,LF (Position Group: Wide Attacker),LF,Wide Attacker,Kota Mori,福島,2025|福島|3160.24; 2024|福島|2174.98,福島,2024|福島|2815.00; 2025|福島|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,山内　陸,Riku Yamauchi,MF,Midfield,5351.0,4488.67,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Riku Yamauchi,群馬,2025|群馬|2310.70; 2024|八戸|2177.97,八戸,2024|八戸|3236.00; 2025|群馬|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,徳永　晃太郎,Kotaro Tokunaga,MF,Midfield,5329.0,5218.01,SH,サイドハーフ,Right Midfield (Position Group: Midfield),Right Midfield,Midfield,Kotaro Tokunaga,沼津,2025|沼津|3238.27; 2024|沼津|1979.74,沼津,2024|沼津|2462.00; 2025|沼津|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,富所　悠,Yu Tomidokoro,MF,Wide Attacker,5180.0,4505.3,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Yu Tomidokoro,琉球,2025|琉球|2748.01; 2024|琉球|1757.29,琉球,2024|琉球|2574.00; 2025|琉球|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Keiji Kagiyama
2024-2025,J3,山本　康裕,Kosuke Yamamoto,MF,Midfield,5066.0,4661.26,SH,サイドハーフ,Right Midfield (Position Group: Midfield),Right Midfield,Midfield,Kosuke Yamamoto,松本,2025|松本|2382.47; 2024|松本|2278.79,松本,2024|松本|2864.00; 2025|松本|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,永田　一真,Kazuma Nagata,MF,Midfield,5040.0,4518.01,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Kazuma Nagata,八戸,2025|八戸|2958.68; 2024|八戸|1559.33,八戸,2024|八戸|2207.00; 2025|八戸|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,菊井　悠介,Yusuke Kikui,FW,Wide Attacker,5036.0,4904.81,SH,サイドハーフ,Left Winger (Position Group: Wide Attacker),Left Winger,Wide Attacker,Yusuke Kikui,松本,2025|松本|2654.12; 2024|松本|2250.69,松本,2024|松本|2626.00; 2025|松本|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,平松　昇,Sho Hiramatsu,MF,Midfield,4975.0,4811.8,SH,サイドハーフ,Left Midfield (Position Group: Midfield),Left Midfield,Midfield,Sho Hiramatsu,琉球,2025|琉球|3463.35; 2024|琉球|1348.45,琉球,2024|琉球|1799.00; 2025|琉球|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,中島　賢星,Kensei Nakashima,MF,Midfield,4969.0,4420.75,SH,サイドハーフ,RM (Position Group: Midfield),RM,Midfield,Kensei Nakashima,奈良,2025|奈良|2483.27; 2024|奈良|1937.48,奈良,2024|奈良|2614.00; 2025|奈良|0.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,阿野　真拓,Mahiro Ano,MF,Wide Attacker,4947.0,4465.240000000001,SH,サイドハーフ,Right Winger (Position Group: Wide Attacker),Right Winger,Wide Attacker,Mahiro Ano,宮崎,2025|宮崎|2695.76; 2024|宮崎|1769.48,宮崎,2024|宮崎|2512.00; 2025|宮崎|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Jumpei Tanaka
