FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_shot_conversion_rate_pct,raw_box_shots_per90,raw_goals_per90,raw_sprint_count_full_all_per_match,raw_last_passes_per90,raw_successful_through_passes_per90,raw_attacking_third_gains_per90,win_shot_conversion_rate_pct,win_box_shots_per90,win_goals_per90,win_sprint_count_full_all_per_match,win_last_passes_per90,win_successful_through_passes_per90,win_attacking_third_gains_per90,z_shot_conversion_rate_pct,z_box_shots_per90,z_goals_per90,z_sprint_count_full_all_per_match,z_last_passes_per90,z_successful_through_passes_per90,z_attacking_third_gains_per90,imputed_shot_conversion_rate_pct,imputed_box_shots_per90,imputed_goals_per90,imputed_sprint_count_full_all_per_match,imputed_last_passes_per90,imputed_successful_through_passes_per90,imputed_attacking_third_gains_per90
奥村　晃司,Koji Okumura,ST,セカンドトップ,16.666666666666664,0.6446111869031378,0.24556616643929058,5.315789473684211,1.0743519781718962,0.7060334242837654,0.9822646657571623,16.666666666666664,0.6907070886154791,0.24556616643929058,5.315789473684211,1.0743519781718962,0.7060334242837654,0.9604200902269626,1.2522338633123324,-1.6142228523895992,0.8972379421515817,-0.3080450210144724,-0.6878698679847028,-0.8811275873450872,1.419810636081588,0,0,0,0,0,0,0
三田　尚希,Naoki Sanda,ST,セカンドトップ,5.0,1.1201716738197425,0.07725321888412016,8.571428571428571,1.0429184549356223,1.0042532188841202,0.46351931330472107,5.0,1.1201716738197425,0.07725321888412016,8.571428571428571,1.0429184549356223,1.0042532188841202,0.46351931330472107,-0.6202781949409502,-0.4008818493889952,-0.7040583377070568,1.1237791886408728,-0.78073822740823,-0.1862031360552478,-0.20543282967565127,0,0,0,0,0,0,0
髙橋　馨希,Yoshiki Takahashi,ST,セカンドトップ,11.76470588235294,0.828994793752503,0.21625951141369643,8.272727272727273,1.4417300760913097,0.5766559871846215,0.828994793752503,11.76470588235294,0.828994793752503,0.21625951141369643,8.272727272727273,1.4417300760913097,0.6090003464594075,0.828994793752503,0.46546409093700364,-1.223526742316161,0.6184201901649029,0.9924108956281951,0.3975255229634008,-1.1072381929620623,0.9899499591606727,0,0,0,0,0,0,0
菊谷　篤資,Atsushi  Kikutani,ST,セカンドトップ,12.244897959183673,1.1013215859030838,0.2643171806167401,7.764705882352941,1.145374449339207,0.7489867841409691,0.6167400881057269,12.244897959183673,1.1013215859030838,0.26215834000800964,7.764705882352941,1.145374449339207,0.7489867841409691,0.6167400881057269,0.5425354155778522,-0.45413789276814814,1.055092618195739,0.7689840034199315,-0.4780384618793411,-0.7810358410214621,0.29571563824587244,0,0,0,0,0,0,0
樺山　諒乃介,Ryonosuke Kabayama,ST,セカンドトップ,,,,8.962962962962964,,,,10.882352941176471,1.2317276279546472,0.19208497958744522,8.865079365079366,1.1323887172069171,0.9519658844595231,0.5628949309306914,0.32384553190944465,-0.08570938128814706,0.3884284489293596,1.2529262786315978,-0.5164039874354289,-0.308045306971887,0.11960102155431449,1,1,1,0,1,1,1
矢田　旭,Asahi Yada,ST,セカンドトップ,0.0,1.0180995475113122,0.0,2.8260869565217392,1.7307692307692308,1.425237556561086,0.5090497737556561,0.0,1.0180995475113122,0.0,2.917184265010352,1.7307692307692308,1.425237556561086,0.5090497737556561,-1.4227833627637858,-0.6892602171991606,-1.4390302682871332,-1.3629472703344665,1.2514734530867921,0.7947924757680117,-0.056513595137243106,0,0,0,0,0,0,0
平原　隆暉,Ryuki Hirahara,ST,セカンドトップ,0.0,1.5671641791044777,0.0,3.1904761904761907,1.119402985074627,0.8955223880597015,0.0,0.0,1.5671641791044777,0.0,3.1904761904761907,1.119402985074627,0.8955223880597015,0.0,-1.4227833627637858,0.8619797540607447,-1.4390302682871332,-1.242753973891865,-0.5547695129915173,-0.4395723433213358,-1.7214935206386421,0,0,0,0,0,0,0
加藤　潤也,Junya Kato,ST,セカンドトップ,16.666666666666664,1.3580246913580247,0.24691358024691357,8.5,0.9876543209876543,0.9879012345679012,0.6172839506172839,16.666666666666664,1.3580246913580247,0.24691358024691357,8.5,0.9964225589225588,0.9879012345679012,0.6172839506172839,1.2522338633123324,0.27111027477965144,0.9100569721128366,1.092365031616102,-0.918107416035396,-0.22430722550268586,0.29749448230132597,0,0,0,0,0,0,0
佐々木　陽次,Yoji Sasaki,ST,セカンドトップ,14.285714285714285,1.6619318181818183,0.2556818181818182,3.6666666666666665,1.0227272727272727,1.5342187500000002,0.8948863636363636,14.285714285714285,1.6619318181818183,0.2556818181818182,3.6666666666666665,1.0227272727272727,1.5342187500000002,0.8948863636363636,0.8700885453014585,1.129721184231081,0.993476263320222,-1.0333262603933926,-0.8403918002010841,1.0487450886485223,1.205465507487113,0,0,0,0,0,0,0
井上　直輝,Naoki Inoue,ST,セカンドトップ,10.0,1.3432835820895521,0.16791044776119401,4.4,2.1828358208955225,2.3507462686567164,0.33582089552238803,10.0,1.3432835820895521,0.16791044776119401,4.4,2.0698191733639497,2.1466143889925373,0.33582089552238803,0.18222697288188536,0.2294630868127017,0.1584367076938164,-0.710807581605745,2.253175098006982,2.4757754572043225,-0.6231037787407043,0,0,0,0,0,0,0
上野　瑶介,Yosuke Ueno,ST,セカンドトップ,0.0,2.0610687022900764,0.0,4.714285714285714,1.6030534351145038,0.9160305343511451,0.0,0.0,1.961284481263012,0.0,4.714285714285714,1.6030534351145038,0.9160305343511451,0.0,-1.4227833627637858,1.9754646354660248,-1.4390302682871332,-0.5725852906967532,0.874145199878518,-0.3917833884410878,-1.7214935206386421,0,0,0,0,0,0,0
