FB_Name,SC_Name,analysis_position_code,analysis_position_jp,shot_conversion_rate_pct,box_shots_per90,goals_per90,sprint_count_full_all_per_match,last_passes_per90,successful_through_passes_per90,attacking_third_gains_per90
奥村　晃司,Koji Okumura,ST,セカンドトップ,16.666666666666664,0.6446111869031378,0.24556616643929058,5.315789473684211,1.0743519781718962,0.7060334242837654,0.9822646657571623
三田　尚希,Naoki Sanda,ST,セカンドトップ,5.0,1.1201716738197425,0.07725321888412016,8.571428571428571,1.0429184549356223,1.0042532188841202,0.46351931330472107
髙橋　馨希,Yoshiki Takahashi,ST,セカンドトップ,11.76470588235294,0.828994793752503,0.21625951141369643,8.272727272727273,1.4417300760913097,0.5766559871846215,0.828994793752503
菊谷　篤資,Atsushi  Kikutani,ST,セカンドトップ,12.244897959183673,1.1013215859030838,0.2643171806167401,7.764705882352941,1.145374449339207,0.7489867841409691,0.6167400881057269
樺山　諒乃介,Ryonosuke Kabayama,ST,セカンドトップ,,,,8.962962962962964,,,
矢田　旭,Asahi Yada,ST,セカンドトップ,0.0,1.0180995475113122,0.0,2.8260869565217392,1.7307692307692308,1.425237556561086,0.5090497737556561
平原　隆暉,Ryuki Hirahara,ST,セカンドトップ,0.0,1.5671641791044777,0.0,3.1904761904761907,1.119402985074627,0.8955223880597015,0.0
加藤　潤也,Junya Kato,ST,セカンドトップ,16.666666666666664,1.3580246913580247,0.24691358024691357,8.5,0.9876543209876543,0.9879012345679012,0.6172839506172839
佐々木　陽次,Yoji Sasaki,ST,セカンドトップ,14.285714285714285,1.6619318181818183,0.2556818181818182,3.6666666666666665,1.0227272727272727,1.5342187500000002,0.8948863636363636
井上　直輝,Naoki Inoue,ST,セカンドトップ,10.0,1.3432835820895521,0.16791044776119401,4.4,2.1828358208955225,2.3507462686567164,0.33582089552238803
上野　瑶介,Yosuke Ueno,ST,セカンドトップ,0.0,2.0610687022900764,0.0,4.714285714285714,1.6030534351145038,0.9160305343511451,0.0
