対象年度,対象リーグ,FB_Name,SC_Name,FB_Pos,SC_Position_Group,FB_Minutes,SC_Minutes,analysis_position_code,analysis_position_jp,analysis_position_source,SC_Primary_Position,SC_Primary_Position_Group,player_name_normalized,dominant_team_name,team_season_signature,fb_dominant_team_name,fb_team_season_signature,join_method,join_method_detail,join_status,Notes
2024-2025,J3,奥村　晃司,Koji Okumura,MF,Midfield,5828.0,5174.82,ST,セカンドトップ,Attacking Midfield (Position Group: Midfield),Attacking Midfield,Midfield,Koji Okumura,宮崎,2025|宮崎|3262.44; 2024|YS横浜|1912.38,YS横浜,2024|YS横浜|2932.00; 2025|宮崎|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,三田　尚希,Naoki Sanda,MF,Wide Attacker,3414.0,2782.3,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Naoki Sanda,長野,2024|長野|1634.15; 2025|長野|1148.15,長野,2024|長野|2330.00; 2025|長野|0.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,髙橋　馨希,Yoshiki Takahashi,MF,Midfield,2497.0,2165.6399999999994,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Yoshiki Takahashi,富山,2024|富山|2165.64,富山,2024|富山|2497.00,exact,composite_exact,matched,j3_2024_2025_missing_english_name_research 手動確定 (2026-04-09)
2024-2025,J3,菊谷　篤資,Atsushi  Kikutani,MF,Midfield,2043.0,1506.5,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Atsushi Kikutani,YS横浜,2024|YS横浜|1506.50,YS横浜,2024|YS横浜|2043.00,normalized,composite_normalized,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,樺山　諒乃介,Ryonosuke Kabayama,FW,Midfield,1755.0,1834.19,ST,セカンドトップ,Attacking Midfield (Position Group: Midfield),Attacking Midfield,Midfield,Ryonosuke Kabayama,北九州,2025|北九州|1834.19,北九州,2025|北九州|0.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
2024-2025,J3,矢田　旭,Asahi Yada,MF,Midfield,1214.0,1089.15,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Asahi Yada,北九州,2024|北九州|738.89; 2025|北九州|350.26,北九州,2024|北九州|884.00; 2025|北九州|0.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,平原　隆暉,Ryuki Hirahara,MF,Midfield,917.0,810.0899999999999,ST,セカンドトップ,Attacking Midfield (Position Group: Midfield),Attacking Midfield,Midfield,Ryuki Hirahara,北九州,2025|北九州|566.00; 2024|北九州|244.09,北九州,2024|北九州|402.00; 2025|北九州|0.00,exact,composite_exact,matched,j3_2024_2025_mapping_issue_name_matches 手動確定 (2026-04-09); confidence=medium; issues元候補: Yamato Machida
2024-2025,J3,加藤　潤也,Junya Kato,MF,Midfield,729.0,765.64,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Junya Kato,今治,2024|今治|765.64,今治,2024|今治|729.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,佐々木　陽次,Yoji Sasaki,MF,Midfield,704.0,443.48,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Yoji Sasaki,富山,2024|富山|443.48,富山,2024|富山|704.00,exact,composite_exact,matched,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,井上　直輝,Naoki Inoue,MF,Midfield,536.0,442.72,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Naoki Inoue,富山,2024|富山|442.72,富山,2024|富山|536.00,exact,composite_exact,matched,"score>=82.0, gap>=12.0, name>=70.0"
2024-2025,J3,上野　瑶介,Yosuke Ueno,FW,Center Forward,393.0,174.05,ST,セカンドトップ,AM (Position Group: Midfield),AM,Midfield,Yosuke Ueno,宮崎,2024|宮崎|174.05,宮崎,2024|宮崎|393.00,exact,composite_exact,matched,master_name_mapping_final.csv 採用
