player_name_raw_skillcorner,player_name_normalized,dominant_team_name,team_season_key,team_season_signature,season_scope,sc_total_minutes,SC_Primary_Position,SC_Primary_Position_Minutes,SC_Primary_Position_Share,SC_Primary_Position_Group,SC_Secondary_Position,SC_Secondary_Position_Minutes,SC_Secondary_Position_Share,SC_Secondary_Position_Group,SC_All_Positions_Detail,analysis_position_code,analysis_position_jp,analysis_position_source
Akira Ibayashi,Akira Ibayashi,讃岐,2025|讃岐,2025|讃岐|1485.58,2024-2025,1485.58,Center Back,938.05,63.14,Central Defender,Right Center Back,450.65,30.33,Central Defender,"Center Back(938min/63.1%), Right Center Back(451min/30.3%), Left Center Back(97min/6.5%)",CB,センターバック,Center Back (Position Group: Central Defender)
Akira Osako,Akira Osako,富山,2024|富山,2024|富山|807.41,2024-2025,807.41,LB,370.94,45.94,Full Back,RB,339.65,42.07,Full Back,"LB(371min/45.9%), RB(340min/42.1%), LCB(97min/12.0%)",SB,サイドバック,LB (Position Group: Full Back)
Akito Fukuta,Akito Fukuta,岐阜,2025|岐阜,2025|岐阜|967.66,2024-2025,967.66,Right Midfield,735.86,76.05,Midfield,Right Defensive Midfield,101.32,10.47,Midfield,"Right Midfield(736min/76.0%), Right Defensive Midfield(101min/10.5%), Left Midfield(97min/10.1%), Left Defensive Midfield(33min/3.4%)",SH,サイドハーフ,Right Midfield (Position Group: Midfield)
Akito Takagi,Akito Takagi,相模原,2025|相模原; 2024|相模原,2025|相模原|1623.39; 2024|相模原|904.09,2024-2025,2527.48,Center Forward,1566.73,61.99,Center Forward,CF,892.66,35.32,Center Forward,"Center Forward(1567min/62.0%), CF(893min/35.3%), Right Winger(39min/1.5%), Left Midfield(18min/0.7%), RWB(11min/0.5%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Akito Tanahashi,Akito Tanahashi,栃木SC,2025|栃木SC; 2024|相模原,2025|栃木SC|1587.00; 2024|相模原|213.31,2024-2025,1800.31,Right Winger,1126.21,62.56,Wide Attacker,Left Winger,366.72,20.37,Wide Attacker,"Right Winger(1126min/62.6%), Left Winger(367min/20.4%), CF(213min/11.8%), Attacking Midfield(94min/5.2%)",SH,サイドハーフ,Right Winger (Position Group: Wide Attacker)
Akito Ueno,Akito Ueno,讃岐,2025|讃岐; 2024|岐阜,2025|讃岐|2078.95; 2024|岐阜|34.45,2024-2025,2113.4,Left Wing Back,1111.13,52.58,Full Back,Left Back,794.06,37.57,Full Back,"Left Wing Back(1111min/52.6%), Left Back(794min/37.6%), Left Winger(109min/5.2%), Right Wing Back(25min/1.2%), Center Forward(24min/1.1%), LW(23min/1.1%), Substitute(16min/0.7%), CF(11min/0.5%)",SB,サイドバック,Left Wing Back (Position Group: Full Back)
Anderson Patric Aguiar Oliveira,Anderson Patric Aguiar Oliveira,金沢,2025|金沢,2025|金沢|1875.55,2024-2025,1875.55,Center Forward,1785.87,95.22,Center Forward,Right Forward,68.25,3.64,Wide Attacker,"Center Forward(1786min/95.2%), Right Forward(68min/3.6%), Right Midfield(21min/1.1%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Andrew Kumagai,Andrew Kumagai,金沢,2025|金沢; 2024|金沢,2025|金沢|975.89; 2024|金沢|847.20,2024-2025,1823.09,Left Midfield,755.35,41.43,Midfield,LM,541.96,29.73,Midfield,"Left Midfield(755min/41.4%), LM(542min/29.7%), RM(305min/16.7%), Right Midfield(178min/9.8%), Left Winger(21min/1.2%), Left Wing Back(15min/0.8%), Center Midfield(6min/0.3%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Anri Narita,Anri Narita,琉球,2025|琉球,2025|琉球|116.58,2024-2025,116.58,Center Forward,89.36,76.65,Center Forward,Right Winger,27.22,23.35,Wide Attacker,"Center Forward(89min/76.7%), Right Winger(27min/23.3%)",FW,フォワード,Center Forward (Position Group: Center Forward)
Aoi Sato,Aoi Sato,八戸,2025|八戸; 2024|八戸,2025|八戸|3062.64; 2024|八戸|1295.91,2024-2025,4358.55,CF,1233.69,28.31,Center Forward,Left Midfield,958.05,21.98,Midfield,"CF(1234min/28.3%), Left Midfield(958min/22.0%), Left Winger(710min/16.3%), Defensive Midfield(643min/14.7%), Left Wing Back(460min/10.5%), Right Midfield(194min/4.4%), Left Center Back(98min/2.3%), AM(62min/1.4%)",FW,フォワード,CF (Position Group: Center Forward)
Aozora Ishiyama,Aozora Ishiyama,松本,2025|松本,2025|松本|390.87,2024-2025,390.87,Left Midfield,175.95,45.01,Midfield,Right Midfield,150.5,38.5,Midfield,"Left Midfield(176min/45.0%), Right Midfield(150min/38.5%), Right Winger(57min/14.5%), Right Wing Back(8min/2.0%)",SH,サイドハーフ,Left Midfield (Position Group: Midfield)
Aria Jasuru Hasegawa,Aria Jasuru Hasegawa,鳥取,2024|鳥取,2024|鳥取|331.76,2024-2025,331.76,RM,237.69,71.65,Midfield,LF,35.7,10.76,Wide Attacker,"RM(238min/71.6%), LF(36min/10.8%), LM(34min/10.1%), DM(25min/7.5%)",SH,サイドハーフ,RM (Position Group: Midfield)
Arthur Silva Feitoza,Arthur Silva Feitoza,大宮,2024|大宮,2024|大宮|1873.26,2024-2025,1873.26,RM,1358.06,72.5,Midfield,CF,241.1,12.87,Center Forward,"RM(1358min/72.5%), CF(241min/12.9%), DM(102min/5.4%), LF(98min/5.2%), AM(74min/4.0%)",SH,サイドハーフ,RM (Position Group: Midfield)
