metric,value,detail
existing_mapping_count,647,既存マッピング件数
position_data_count,810,SC細分類ポジション集計件数
join_key,SC_Name + team_season_signature -> player_name_normalized + team_season_signature,優先結合キー
joined_count,647,結合成功件数
unjoined_count,0,未結合件数
join_rate_pct,100.0,結合成功率 (%)
duplicate_rows,0,重複行数 (0が正常)
method_composite_exact,592,exact + team/season signature 件数
method_composite_normalized,49,normalized + team/season signature 件数
method_normalized_only,1,name only fallback 件数
method_alias,5,alias match 件数
method_unresolved,0,unresolved 件数
name_only_count,1,README に明記すべき name only fallback 件数
canonicalized_sc_name,Rensuke Kawana -> Rennosuke Kawana,FB_Name=川名　連介
canonicalized_sc_name,In Ju Mun -> In-Ju Mun,FB_Name=文　仁柱
canonicalized_sc_name,Joao -> Joao Vitor Gaudencio Nunes,FB_Name=ジョアオ
canonicalized_sc_name,Justin Toshiki Kinjo -> Justin Kinjo,FB_Name=金城　ジャスティン俊樹
canonicalized_sc_name,Thales -> Thales Procopio Castro de Paula,FB_Name=ターレス
normalized_only_match,Daichi Ichimaru Daichi Ichimaru,"FB_Name=一丸　大地, expected_signature="
alias_applied,Rensuke Kawana -> Rennosuke Kawana,FB_Name=川名　連介
alias_applied,In Ju Mun -> In-Ju Mun,FB_Name=文　仁柱
alias_applied,Joao -> Joao Vitor Gaudencio Nunes,FB_Name=ジョアオ
alias_applied,Justin Toshiki Kinjo -> Justin Kinjo,FB_Name=金城　ジャスティン俊樹
alias_applied,Thales -> Thales Procopio Castro de Paula,FB_Name=ターレス
