player_name,team_name,match_id,match_date,competition_name,season_name,position,position_group,minutes_full_all,source_year
Tomohiko Miyazaki,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,13.87,2024
Takeaki Harigaya,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,74.3,2024
Daigo Araki,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,96.87,2024
Kiichi Yajima,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,69.8,2024
Takuto Kato,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,DM,Midfield,83.0,2024
Yuto  Ozeki,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,83.0,2024
Shohei Aihara,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,33.35,2024
Takayuki Arakaki,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,13.42,2024
Masayuki Yamada,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,96.87,2024
Ryo  Nishitani,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,13.42,2024
Kazuki Dohana,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.87,2024
Yoshihiro Shoji,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,96.87,2024
Kosuke Fujioka,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,83.45,2024
Ryoma Ishida,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,96.87,2024
Kentaro Kai,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RCB,Central Defender,96.87,2024
Genichi Endo,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CB,Central Defender,4.95,2024
Ryu Kawakami,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.87,2024
In-Ju Mun,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,91.92,2024
Ryoma  Kita,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,83.45,2024
Oji Kawanami,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,RW,Wide Attacker,63.52,2024
Hiroki Higuchi,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,27.07,2024
Kota Mori,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LF,Wide Attacker,96.87,2024
Uheiji Uehata,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,22.57,2024
Naoki Suzu,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,LB,Full Back,96.87,2024
Kento Awano,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RF,Wide Attacker,13.87,2024
Toru Shibata,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RB,Full Back,96.87,2024
Ryo Shiohama,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RF,Wide Attacker,69.8,2024
Kazumasa  Shimizu,Fukushima United FC,1734338,2024-02-24,JPN - J3 League,2024/2024,RF,Wide Attacker,27.07,2024
Hirofumi Yamauchi,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,63.52,2024
Yuya Taguchi,FC Gifu,1734338,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,33.35,2024
Yushi Hasegawa,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,28.68,2024
Ryo Takano,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,90.48,2024
Kota Kudo,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.93,2024
Ryo Nagai,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,83.93,2024
Yuzo Iwakami,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LM,Midfield,68.25,2024
Yuji Senuma,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,76.47,2024
Takumu Fujinuma,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,20.47,2024
Riku Tanaka,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,6.45,2024
Ryoji Yamashita,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LCB,Central Defender,96.93,2024
Riku Hashimoto,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,LWB,Full Back,6.45,2024
Ko Watahiki,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RWB,Full Back,90.48,2024
Taira Maeda,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,68.25,2024
Shuhei Kunihiro,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CB,Central Defender,96.93,2024
Takumi Nishiyama,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,DM,Midfield,96.93,2024
Rio Yoshitake,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,RM,Midfield,28.68,2024
Kazuki Fukui,SC Sagamihara,1734335,2024-02-24,JPN - J3 League,2024/2024,CF,Center Forward,96.93,2024
Kohei Kiyama,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LDM,Midfield,96.93,2024
Taku Ushinohama,Giravanz Kitakyushu,1734335,2024-02-24,JPN - J3 League,2024/2024,LW,Wide Attacker,72.27,2024
