FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,cluster_id,cluster_distance_to_center
温井　駿斗,Hayato Nukui,CB,センターバック,-0.932062,-0.366228,-0.964506,-0.648700,-1.695222,0.780854,2.037732,1.169470,0.611055,-0.361789,0,2.087771
黒木　謙吾,Kengo  Kuroki,CB,センターバック,0.467630,1.269070,-0.964506,0.168430,0.270415,-0.451230,-0.096105,-0.146618,1.134017,0.923699,3,1.856491
蓑田　広大,Kodai  Minoda,CB,センターバック,-0.207417,0.163796,-0.661551,1.247440,-0.106677,-1.114693,-0.080279,0.365334,0.541226,0.801751,3,1.896693
鈴木　順也,Junya Suzuki,CB,センターバック,-0.355062,-0.443979,0.410580,-0.294639,-0.567090,1.123108,0.844754,0.589586,0.612762,0.028481,0,1.134981
辻岡　佑真,Yuma  Tsujioka,CB,センターバック,0.845776,1.037586,0.576188,0.952090,0.262376,-1.028644,0.236442,1.654349,1.393290,1.519842,3,2.938829
鈴木　大誠,Daisei Suzuki,CB,センターバック,0.161079,-0.291279,-0.076891,-0.156978,-0.163679,0.700371,0.419796,2.296892,1.314608,0.866042,0,2.271363
附木　雄也,Yuya Tsukegi,CB,センターバック,0.215802,0.047043,-0.592906,-0.929249,-0.681812,1.306889,1.622625,2.455174,1.137581,-0.114386,0,1.938844
加藤　大育,Daisuke Kato,CB,センターバック,-0.056544,-0.689306,2.165054,0.392290,-0.520511,-0.426399,0.152786,-1.102239,0.999265,2.035322,3,2.980881
杉山　耕二,Koji  Sugiyama,CB,センターバック,0.785041,-0.247172,-0.349847,-0.221627,0.252227,0.360559,-0.027260,0.320081,0.914438,1.150586,3,1.308305
秋山　拓也,Takuya Akiyama,CB,センターバック,1.824667,0.610134,-0.157583,-1.093064,1.188194,-2.294157,-0.589706,-0.133776,0.224969,-0.373593,1,3.265834
川上　竜,Ryu Kawakami,CB,センターバック,-0.063233,0.500182,0.635324,-0.789383,-1.462327,0.697766,2.383011,1.941191,0.730296,0.378822,0,1.946695
甲斐　健太郎,Kentaro Kai,CB,センターバック,-0.050526,0.229060,2.807290,0.237274,0.296854,-0.254503,0.880613,0.984519,0.436219,-0.023308,0,3.181851
山田　将之,Masayuki Yamada,CB,センターバック,0.584854,-0.478149,1.150136,0.548851,0.405468,1.379740,2.343860,-0.825711,0.090923,-0.222648,0,2.955832
白井　達也,Tatsuya Shirai,CB,センターバック,-0.089475,-0.247496,-0.964506,-1.013776,0.572903,0.515136,-0.586674,-0.291341,0.259037,0.093218,3,1.912806
山本　義道,Norimichi Yamamoto,CB,センターバック,0.589178,-0.529406,-0.196308,-1.605371,-0.294469,0.671039,0.516098,-0.079230,1.304417,1.746540,3,2.599865
大野　佑哉,Yuya  Ono,CB,センターバック,0.056277,0.208373,-0.964506,0.256209,1.005636,0.801883,-1.272901,-0.841514,0.930112,0.605744,3,2.076958
野々村　鷹人,Takato Nonomura,CB,センターバック,0.935087,-0.291279,-0.112428,1.221746,0.244931,-0.446395,-0.156071,-0.619272,0.734750,0.529803,3,1.552512
野澤　陸,Riku Nozawa,CB,センターバック,0.490309,0.833293,1.936916,0.001847,0.400582,0.225091,0.857246,3.001505,0.137146,-0.372887,0,3.099598
大嶋　春樹,Haruki Oshima,CB,センターバック,0.202307,0.783638,2.502163,0.053195,0.492007,0.725373,-0.273398,-0.504075,0.724297,0.080271,3,2.717830
大森　博,Hiroshi  Omori,CB,センターバック,0.243213,-1.233564,-0.215958,0.560190,0.841591,1.711282,2.976285,-0.915482,0.836852,1.238283,0,3.861922
深川　大輔,Daisuke  Fukagawa,CB,センターバック,0.827643,-0.453784,0.324756,0.545791,-0.440305,-0.455875,-1.505116,-0.026468,0.099557,-0.221049,3,2.121861
澤田　雄大,Yudai Sawada,CB,センターバック,-0.945674,-0.020701,1.246672,1.476944,0.095349,0.794705,-0.217834,1.422537,1.528623,2.178483,3,3.259661
畑尾　大翔,Hiroto Hatao,CB,センターバック,0.015025,-0.247496,-0.142352,-1.549191,-0.508997,1.411255,-0.066685,0.320945,-0.642283,-0.883253,0,2.307634
常田　克人,Masato Tokida,CB,センターバック,1.399284,-0.637965,0.276351,0.026232,0.928329,0.127747,0.262688,0.448667,1.002715,2.184831,3,2.474745
二階堂　正哉,Seiya Nikaido,CB,センターバック,-0.087256,0.593088,-0.964506,-0.444625,0.180830,1.315800,0.589999,0.820828,0.012864,-0.365118,0,1.656321
江川　慶城,Genki Egawa,CB,センターバック,0.465566,-0.321131,-0.964506,-0.160362,1.041109,0.494911,-1.182598,-0.466161,-0.223126,-0.259738,1,1.857555
冨田　康平,Kohei Tomita,CB,センターバック,-0.215790,0.879439,-0.964506,3.322198,0.442664,0.297791,-0.166250,-1.061950,1.463614,1.633954,3,3.790135
雪江　悠人,Hiroto Yukie,CB,センターバック,-0.838852,2.092459,3.954976,-0.130350,-2.371463,-3.284433,-2.337872,-1.640077,-0.155490,0.492515,2,4.107251
奥田　雄大,Yudai Okuda,CB,センターバック,0.251325,-0.247265,-0.035504,-0.409139,-0.378819,-0.513771,-0.114380,-0.193069,-0.289077,0.826039,3,1.390630
中村　勇太,Yuta Nakamura,CB,センターバック,0.004964,-0.409655,-0.303883,-0.591880,-1.006385,1.033379,1.482587,0.644398,0.745735,-0.390542,0,1.124326
菊地　脩太,Shuta Kikuchi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.549867,0.091174,3,0.631171
宮部　大己,Taiki Miyabe,CB,センターバック,0.906313,0.562083,-0.313753,1.337148,-0.664233,1.074931,-0.596282,-0.604546,-0.489501,0.267594,3,2.364184
工藤　孝太,Kota Kudo,CB,センターバック,1.156195,0.592938,0.480608,-0.885516,0.505988,-0.129516,0.402888,-0.026906,0.600812,0.442797,3,1.799398
市原　亮太,Ryota  Ichihara,CB,センターバック,0.411263,0.082193,0.221604,-0.150032,-0.602419,-1.163037,0.078932,-0.308777,1.162838,1.255493,3,1.801493
金浦　真樹,Masaki Kaneura,CB,センターバック,-1.757056,0.500182,-0.964506,-0.049775,-0.860095,0.409074,1.312814,2.237279,-0.615922,-1.394602,0,2.902581
佐藤　喜生,Yoshiki Sato,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.521941,1.297323,3,0.808446
加藤　徹也,Tetsuya Kato,CB,センターバック,0.115806,0.374883,1.449761,1.412545,-1.255885,-0.585731,-0.094087,0.029732,1.106703,1.150586,3,2.554990
宗近　慧,Kei Munechika,CB,センターバック,1.107394,0.796011,0.290767,-0.489223,0.674792,0.063557,0.205313,-0.450739,0.698804,1.064270,3,1.667797
千布　一輝,Kazuki Chibu,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.109889,0.339218,3,0.718627
池ヶ谷　颯斗,Hayato Ikegaya,CB,センターバック,-0.276322,0.550145,-0.645775,0.953265,-0.990797,0.292526,0.310193,-1.195811,0.530545,0.287429,3,2.019244
マテイ　ヨニッチ,Matej Jonjić,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.796143,0.541668,3,0.457153
大畑　隆也,Ryuya Ohata,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.943891,0.598165,3,0.546590
篠﨑　輝和,Terukazu Shinozaki,CB,センターバック,-0.283395,2.992442,3.954976,-2.503637,-0.122441,1.652605,0.990054,3.001505,0.969964,1.332634,0,5.842364
沼田　航征,Kosei Numata,CB,センターバック,-1.491529,0.415955,-0.184794,-0.105350,-2.298860,0.667158,-0.255680,2.133082,-0.620885,-1.120398,0,3.283220
鈴木　俊也,Shunya Suzuki,CB,センターバック,-3.762774,-1.057481,-0.964506,3.322198,4.601248,-0.236619,1.632849,-2.226394,0.219110,1.329310,3,7.394542
市原　吏音,Rion Ichihara,CB,センターバック,1.356642,-0.844540,0.425377,-0.609406,0.261774,0.400922,0.512221,0.184219,1.083816,0.456921,3,2.021638
村上　陽介,Yosuke Murakami,CB,センターバック,0.043748,-0.157198,0.425377,-0.136213,0.465181,-0.140862,-0.746970,-0.283449,-0.048358,-0.859907,1,1.545198
庄司　朋乃也,Honoya Shoji,CB,センターバック,-0.092070,1.305311,-0.964506,-0.728677,-0.041387,-0.412744,0.192913,0.573238,0.146228,0.225281,3,2.192438
岩﨑　博,Hiroshi  Iwasaki,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.167250,1.714875,3,1.337222
高橋　勇利也,Yuriya Takahashi,CB,センターバック,0.047390,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,1.680264,1.499301,3,1.495511
福森　直也,Naoya Fukumori,CB,センターバック,0.208047,0.742485,-0.605307,-1.279818,-0.178514,0.191401,-1.287536,0.047936,0.772343,-0.071114,3,2.290234
