FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match,distance_to_cluster_center_3,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
温井　駿斗,Hayato Nukui,CB,0,センターバック,2.087771,-0.932062,-0.366228,-0.964506,-0.6487,-1.695222,0.780854,2.037732,1.16947,0.611055,-0.361789,3.769080002956292,3.9880560000000003,-3.238339,-1.330734,-3.769080002956292,7,142,131,106
黒木　謙吾,Kengo  Kuroki,CB,3,センターバック,1.856491,0.46763,1.26907,-0.964506,0.16843,0.270415,-0.45123,-0.096105,-0.146618,1.134017,0.923699,1.8564897526770783,-0.693953,-0.395972,0.30456399999999995,-1.8564897526770783,106,89,42,40
蓑田　広大,Kodai  Minoda,CB,3,センターバック,1.896693,-0.207417,0.163796,-0.661551,1.24744,-0.106677,-1.114693,-0.080279,0.365334,0.541226,0.801751,1.8966922600472116,-0.8296379999999999,-0.85532,-0.497755,-1.8966922600472116,110,109,112,42
鈴木　順也,Junya Suzuki,CB,0,センターバック,1.134981,-0.355062,-0.443979,0.41058,-0.294639,-0.56709,1.123108,0.844754,0.589586,0.612762,0.028481,2.046058009149301,2.557448,-1.5349140000000001,-0.03339900000000001,-2.046058009149301,23,124,52,48
辻岡　佑真,Yuma  Tsujioka,CB,3,センターバック,2.938829,0.845776,1.037586,0.576188,0.95209,0.262376,-1.028644,0.236442,1.654349,1.39329,1.519842,2.938828859998826,0.8621470000000002,-0.2851379999999999,1.6137739999999998,-2.938828859998826,42,84,16,86
鈴木　大誠,Daisei Suzuki,CB,0,センターバック,2.271363,0.161079,-0.291279,-0.076891,-0.156978,-0.163679,0.700371,0.419796,2.296892,1.314608,0.866042,2.7939101589267326,3.417059,-1.317208,-0.36817,-2.7939101589267326,13,120,103,81
附木　雄也,Yuya Tsukegi,CB,0,センターバック,1.938844,0.215802,0.047043,-0.592906,-0.929249,-0.681812,1.306889,1.622625,2.455174,1.137581,-0.114386,3.8273421314883778,5.384688000000001,-1.603591,-0.545863,-3.8273421314883778,2,126,113,109
加藤　大育,Daisuke Kato,CB,3,センターバック,2.980881,-0.056544,-0.689306,2.165054,0.39229,-0.520511,-0.426399,0.152786,-1.102239,0.999265,2.035322,2.9808815341940376,-1.375852,-1.57632,1.475748,-2.9808815341940376,122,125,18,87
杉山　耕二,Koji  Sugiyama,CB,3,センターバック,1.308305,0.785041,-0.247172,-0.349847,-0.221627,0.252227,0.360559,-0.02726,0.320081,0.914438,1.150586,1.308304276601204,0.6533800000000001,0.1228300000000001,-0.597019,-1.308304276601204,44,69,114,25
秋山　拓也,Takuya Akiyama,CB,1,センターバック,3.265834,1.824667,0.610134,-0.157583,-1.093064,1.188194,-2.294157,-0.589706,-0.133776,0.224969,-0.373593,3.6201366325040825,-3.017639,2.787892,0.4525509999999999,-3.6201366325040825,135,11,37,104
川上　竜,Ryu Kawakami,CB,0,センターバック,1.946695,-0.063233,0.500182,0.635324,-0.789383,-1.462327,0.697766,2.383011,1.941191,0.730296,0.378822,3.899183887708811,5.021968,-2.255856,1.135506,-3.899183887708811,4,137,22,113
甲斐　健太郎,Kentaro Kai,CB,0,センターバック,3.181851,-0.050526,0.22906,2.80729,0.237274,0.296854,-0.254503,0.880613,0.984519,0.436219,-0.023308,3.2172544859863046,1.6106289999999999,-0.18989100000000003,3.03635,-3.2172544859863046,32,80,5,94
山田　将之,Masayuki Yamada,CB,0,センターバック,2.955832,0.584854,-0.478149,1.150136,0.548851,0.405468,1.37974,2.34386,-0.825711,0.090923,-0.222648,3.2767277563445822,2.8978889999999997,0.899399,0.6719870000000001,-3.2767277563445822,18,41,31,96
白井　達也,Tatsuya Shirai,CB,3,センターバック,1.912806,-0.089475,-0.247496,-0.964506,-1.013776,0.572903,0.515136,-0.586674,-0.291341,0.259037,0.093218,1.912806057371996,-0.362879,0.22439100000000006,-1.212002,-1.912806057371996,102,60,128,43
山本　義道,Norimichi Yamamoto,CB,3,センターバック,2.599865,0.589178,-0.529406,-0.196308,-1.605371,-0.294469,0.671039,0.516098,-0.07923,1.304417,1.74654,2.5998647284831957,1.107907,-1.0097079999999998,-0.7257140000000001,-2.5998647284831957,38,114,121,71
大野　佑哉,Yuya  Ono,CB,3,センターバック,2.076958,0.056277,0.208373,-0.964506,0.256209,1.005636,0.801883,-1.272901,-0.841514,0.930112,0.605744,2.076957418156665,-1.312532,0.13180099999999983,-0.7561329999999999,-2.076957418156665,121,68,122,49
野々村　鷹人,Takato Nonomura,CB,3,センターバック,1.552512,0.935087,-0.291279,-0.112428,1.221746,0.244931,-0.446395,-0.156071,-0.619272,0.73475,0.529803,1.5525118830704645,-1.221738,0.445268,-0.40370700000000004,-1.5525118830704645,118,56,107,30
野澤　陸,Riku Nozawa,CB,0,センターバック,3.099598,0.490309,0.833293,1.936916,0.001847,0.400582,0.225091,0.857246,3.001505,0.137146,-0.372887,4.059921009854625,4.083842,0.753745,2.770209,-4.059921009854625,6,45,6,117
大嶋　春樹,Haruki Oshima,CB,3,センターバック,2.71783,0.202307,0.783638,2.502163,0.053195,0.492007,0.725373,-0.273398,-0.504075,0.724297,0.080271,2.7178301632002317,-0.05209999999999998,-0.029982999999999982,3.2858009999999997,-2.7178301632002317,95,73,4,75
大森　博,Hiroshi  Omori,CB,0,センターバック,3.861922,0.243213,-1.233564,-0.215958,0.56019,0.841591,1.711282,2.976285,-0.915482,0.836852,1.238283,3.929961165427083,3.7720849999999997,0.24795200000000006,-1.4495220000000002,-3.929961165427083,9,59,134,115
深川　大輔,Daisuke  Fukagawa,CB,3,センターバック,2.121861,0.827643,-0.453784,0.324756,0.545791,-0.440305,-0.455875,-1.505116,-0.026468,0.099557,-0.221049,2.121861413126927,-1.9874589999999999,0.287781,-0.12902800000000003,-2.121861413126927,128,57,97,50
澤田　雄大,Yudai Sawada,CB,3,センターバック,3.259661,-0.945674,-0.020701,1.246672,1.476944,0.095349,0.794705,-0.217834,1.422537,1.528623,2.178483,3.2596616024355964,1.9994079999999999,-2.3789480000000003,1.225971,-3.2596616024355964,28,138,20,95
