cluster_id,cluster_label,rank,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,analysis_position_jp,z_aerial_duel_win_rate_pct,z_tackle_win_rate_pct,z_interceptions_per90,z_blocks_per90,z_clearances_per90,z_pass_success_rate_pct,z_successful_forward_passes_per90,z_successful_long_passes_per90,z_medaccel_count_full_all_per_match,z_highaccel_count_full_all_per_match
0,ビルドアップ型,1,篠﨑　輝和,Terukazu Shinozaki,CB,0,ビルドアップ型,5.644164,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,-0.283395,2.992442,3.954976,-2.503637,-0.122441,1.652605,0.990054,3.001505,0.969964,1.332634
0,ビルドアップ型,2,附木　雄也,Yuya Tsukegi,CB,0,ビルドアップ型,5.384688000000001,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,0.215802,0.047043,-0.592906,-0.929249,-0.681812,1.306889,1.622625,2.455174,1.137581,-0.114386
0,ビルドアップ型,3,井上　航希,Koki Inoue,CB,0,ビルドアップ型,5.064941,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,0.730715,0.293393,0.769631,-1.191647,-0.992574,1.629105,2.976285,0.459551,0.345494,0.246898
0,ビルドアップ型,4,川上　竜,Ryu Kawakami,CB,0,ビルドアップ型,5.021968,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,-0.063233,0.500182,0.635324,-0.789383,-1.462327,0.697766,2.383011,1.941191,0.730296,0.378822
0,ビルドアップ型,5,森　侑里,Yuri Mori,CB,0,ビルドアップ型,4.403495,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,-0.20061,-0.13686,-0.214159,0.115297,-0.559599,1.48584,2.869735,0.04792,0.071022,-0.489413
0,ビルドアップ型,6,野澤　陸,Riku Nozawa,CB,0,ビルドアップ型,4.083842,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,0.490309,0.833293,1.936916,0.001847,0.400582,0.225091,0.857246,3.001505,0.137146,-0.372887
0,ビルドアップ型,7,温井　駿斗,Hayato Nukui,CB,0,ビルドアップ型,3.9880560000000003,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,-0.932062,-0.366228,-0.964506,-0.6487,-1.695222,0.780854,2.037732,1.16947,0.611055,-0.361789
0,ビルドアップ型,8,金浦　真樹,Masaki Kaneura,CB,0,ビルドアップ型,3.959167,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,-1.757056,0.500182,-0.964506,-0.049775,-0.860095,0.409074,1.312814,2.237279,-0.615922,-1.394602
0,ビルドアップ型,9,大森　博,Hiroshi  Omori,CB,0,ビルドアップ型,3.7720849999999997,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,0.243213,-1.233564,-0.215958,0.56019,0.841591,1.711282,2.976285,-0.915482,0.836852,1.238283
0,ビルドアップ型,10,高橋　祥平,Shohei Takahashi,CB,0,ビルドアップ型,3.7388529999999998,,score_cluster_0 = z_successful_forward_passes_per90 + z_pass_success_rate_pct + z_successful_long_passes_per90,センターバック,-0.185857,-1.056806,-0.964506,-0.08001,-0.362478,1.230936,1.191484,1.316433,0.290026,-0.034023
1,守備安定型,1,大武　峻,Shun Obu,CB,1,守備安定型,6.736885,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,1.897833,-3.082442,-0.964506,-0.376221,2.344771,0.477149,-0.712892,0.069058,-2.494281,-2.397336
1,守備安定型,2,橋内　優也,Yuya Hashiuchi,CB,1,守備安定型,5.161759,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,1.220648,-1.057481,-0.964506,-0.788493,1.237502,1.475605,-1.340014,-0.69491,-2.703609,-2.397336
1,守備安定型,3,都並　優太,Yuta Tsunami,CB,1,守備安定型,4.939058,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,1.118728,-0.746571,-0.964506,0.820852,1.116721,0.0139,-0.62493,2.277979,-2.703609,-2.136317
1,守備安定型,4,坂本　修佑,Shusuke Sakamoto,CB,1,守備安定型,3.798833,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,1.07102,-1.057481,-0.964506,0.393237,1.252369,-3.284433,-1.615049,-1.343091,-1.475444,0.021083
1,守備安定型,5,濱田　水輝,Mizuki Hamada,CB,1,守備安定型,3.7279649999999998,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,0.947666,-2.40678,-0.114748,-0.590656,1.655725,-0.846801,-0.621515,-0.681113,-1.124574,-1.407498
1,守備安定型,6,伊勢　渉,Wataru Ise,CB,1,守備安定型,3.70188,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,0.715012,1.373553,-0.964506,1.069013,1.095745,0.548696,-1.271068,1.073497,-1.891123,-1.746484
1,守備安定型,7,深津　康太,Kota Fukatsu,CB,3,平均型,3.512128,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,1.423357,-1.057169,3.10916,0.022318,1.720026,0.232288,-0.731602,0.860818,-0.368745,-0.023308
1,守備安定型,8,左合　修土,Shuto Sago,CB,1,守備安定型,3.475065,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,2.20965,-4.135422,-0.964506,-3.290832,0.747692,-0.373841,-0.86691,-2.226394,-0.517723,0.433086
1,守備安定型,9,ヴァンイヤーデン　ショーン,Shawn Van Eerden,CB,1,守備安定型,2.960705,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,-0.482446,0.047043,-0.964506,0.849605,1.821232,0.36584,-0.329513,-1.543627,-1.621919,-1.343939
1,守備安定型,10,竹内　悠力,Yuri Takeuchi,CB,1,守備安定型,2.820545,,score_cluster_1 = z_clearances_per90 + z_aerial_duel_win_rate_pct - z_medaccel_count_full_all_per_match,センターバック,0.954706,-0.157048,-0.964506,0.544859,-0.360758,0.237822,-0.530559,1.38907,-2.226597,-1.887728
2,対人迎撃型,1,篠﨑　輝和,Terukazu Shinozaki,CB,0,ビルドアップ型,6.947418,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,-0.283395,2.992442,3.954976,-2.503637,-0.122441,1.652605,0.990054,3.001505,0.969964,1.332634
2,対人迎撃型,2,雪江　悠人,Hiroto Yukie,CB,2,対人迎撃型,6.047435,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,-0.838852,2.092459,3.954976,-0.13035,-2.371463,-3.284433,-2.337872,-1.640077,-0.15549,0.492515
2,対人迎撃型,3,砂森　和也,Kazuya Sunamori,CB,2,対人迎撃型,5.019862,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,-0.454423,1.371393,3.648469,-0.498813,-1.866993,-0.27374,0.519177,0.259321,0.556137,0.144012
2,対人迎撃型,4,大嶋　春樹,Haruki Oshima,CB,3,平均型,3.2858009999999997,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,0.202307,0.783638,2.502163,0.053195,0.492007,0.725373,-0.273398,-0.504075,0.724297,0.080271
2,対人迎撃型,5,甲斐　健太郎,Kentaro Kai,CB,0,ビルドアップ型,3.03635,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,-0.050526,0.22906,2.80729,0.237274,0.296854,-0.254503,0.880613,0.984519,0.436219,-0.023308
2,対人迎撃型,6,野澤　陸,Riku Nozawa,CB,0,ビルドアップ型,2.770209,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,0.490309,0.833293,1.936916,0.001847,0.400582,0.225091,0.857246,3.001505,0.137146,-0.372887
2,対人迎撃型,7,黒石　貴哉,Takaya Kuroishi,CB,2,対人迎撃型,2.3634269999999997,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,0.04739,-0.81925,3.182677,0.160551,-0.030726,-2.603188,-1.286758,-1.472147,0.666936,1.633954
2,対人迎撃型,8,深津　康太,Kota Fukatsu,CB,3,平均型,2.051991,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,1.423357,-1.057169,3.10916,0.022318,1.720026,0.232288,-0.731602,0.860818,-0.368745,-0.023308
2,対人迎撃型,9,中里　崇宏,Takahiro Nakazato,CB,0,ビルドアップ型,2.029528,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,-1.40915,0.703531,1.325997,-0.691454,-1.463999,-0.200726,1.360127,1.322366,0.625908,-1.693517
2,対人迎撃型,10,石井　光輝,Koki Ishii,CB,2,対人迎撃型,2.027936,,score_cluster_2 = z_tackle_win_rate_pct + z_interceptions_per90,センターバック,-0.841738,2.992442,-0.964506,-1.643216,-2.371463,-1.71285,0.162592,-1.492963,1.185175,0.986586
3,平均型,1,広瀬　健太,Kenta Hirose,CB,3,平均型,-0.4543033020362058,0.4543033020362058,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.585448,0.354015
3,平均型,2,マテイ　ヨニッチ,Matej Jonjić,CB,3,平均型,-0.45715212851194303,0.45715212851194303,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.796143,0.541668
3,平均型,3,小林　大智,Daichi Kobayashi,CB,3,平均型,-0.48133885822463995,0.48133885822463995,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.298234,0.473871
3,平均型,4,山内　琳太郎,Rintaro Yamauchi,CB,3,平均型,-0.5033233946033107,0.5033233946033107,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.536281,0.908902
3,平均型,5,平松　航,Wataru Hiramatsu,CB,3,平均型,-0.5069353672441882,0.5069353672441882,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.774625,0.833896
3,平均型,6,藤谷　匠,Takumi Fujitani,CB,3,平均型,-0.5386647840215657,0.5386647840215657,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.545182,0.962477
3,平均型,7,大畑　隆也,Ryuya Ohata,CB,3,平均型,-0.5465893830417858,0.5465893830417858,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.943891,0.598165
3,平均型,8,内田　航平,Kohei Uchida,CB,3,平均型,-0.5738968578159319,0.5738968578159319,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.437493,0.18385
3,平均型,9,長倉　颯,Hayate Nagakura,CB,3,平均型,-0.5805205824921285,0.5805205824921285,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.92457,0.359137
3,平均型,10,小西　慶太郎,Keitaro Konishi,CB,3,平均型,-0.6263589451592434,0.6263589451592434,"score_cluster_3 = - euclidean_distance(player_z_vector, cb_cluster_3_center_z_vector)",センターバック,0.04739,0.047043,-0.157583,0.001847,-0.041387,0.191401,-0.094087,-0.119109,0.90339,0.939975
