FB_Name,SC_Name,analysis_position_code,analysis_position_jp,raw_running_distance_full_all_per_match,win_running_distance_full_all_per_match,z_running_distance_full_all_per_match,imputed_running_distance_full_all_per_match,raw_ball_gains_per90,win_ball_gains_per90,z_ball_gains_per90,imputed_ball_gains_per90,raw_interceptions_per90,win_interceptions_per90,z_interceptions_per90,imputed_interceptions_per90,raw_pass_success_rate_pct,win_pass_success_rate_pct,z_pass_success_rate_pct,imputed_pass_success_rate_pct,raw_forward_pass_success_rate_pct,win_forward_pass_success_rate_pct,z_forward_pass_success_rate_pct,imputed_forward_pass_success_rate_pct,raw_short_pass_share_pct,win_short_pass_share_pct,z_short_pass_share_pct,imputed_short_pass_share_pct,raw_long_pass_share_pct,win_long_pass_share_pct,z_long_pass_share_pct,imputed_long_pass_share_pct,raw_opponent_half_gain_share_pct,win_opponent_half_gain_share_pct,z_opponent_half_gain_share_pct,imputed_opponent_half_gain_share_pct,imputed_count,imputed_ratio,cluster_id,cluster_distance_to_center,distance_to_cluster_center_1,score_cluster_0,score_cluster_1,score_cluster_2,rank_cluster_0,rank_cluster_1,rank_cluster_2
針谷　岳晃,Takeaki Harigaya,CMF,セントラルMF,1155.532258064516,1155.532258064516,-0.574692,0,4.447058823529411,4.447058823529411,-1.677459,0,0.3176470588235294,0.3176470588235294,0.829454,0,85.30961248112733,85.30961248112733,1.630121,0,67.95626043405676,67.95626043405676,1.633049,0,67.03573225968798,67.03573225968798,1.546763,0,7.347760442878712,7.347760442878712,-0.764552,0,39.68253968253968,39.68253968253968,1.042038,0,0,0.0,2,1.654051,3.6516229221353074,-4.072132,-3.6516229221353074,4.809933,30,25,2
安田　虎士朗,Kojiro Yasuda,CMF,セントラルMF,1925.3653846153843,1925.3653846153843,1.56885,0,7.77307366638442,7.77307366638442,0.440621,0,0.3810330228619814,0.3810330228619814,1.357651,0,74.34539473684211,74.34539473684211,-0.886483,0,47.8811320754717,47.8811320754717,-1.348295,0,62.5,62.5,0.696801,0,8.05921052631579,8.05921052631579,-0.443796,0,39.21568627450981,39.21568627450981,0.948167,0,0,0.0,1,2.795606,2.7956062707806333,0.883308,-2.7956062707806333,-1.5379770000000001,10,18,25
力安　祥伍,Shogo Rikiyasu,CMF,セントラルMF,1668.5471698113208,1668.5471698113208,0.853759,0,6.210743801652892,6.210743801652892,-0.554306,0,0.1115702479338843,0.1115702479338843,-0.887791,0,79.3295746785361,79.3295746785361,0.25753,0,45.97262773722627,45.97262773722627,-1.631726,0,55.984174085064296,55.984174085064296,-0.524216,0,9.000989119683481,9.000989119683481,-0.019197,0,37.12574850299401,37.12574850299401,0.527941,0,0,0.0,1,2.116068,2.1160675931047193,-0.8310329999999999,-2.1160675931047193,-1.898412,23,11,26
佐藤　祐太,Yuta Sato,CMF,セントラルMF,1503.159090909091,1503.159090909091,0.393248,0,5.89321692411014,5.89321692411014,-0.756514,0,0.3022162525184688,0.3022162525184688,0.700868,0,78.49808219178082,78.49808219178082,0.066679,0,63.886538461538464,63.886538461538464,1.028657,0,72.26027397260275,71.16175070989485,2.319948,0,4.931506849315069,4.931506849315069,-1.853915,0,33.84615384615385,33.84615384615385,-0.131491,0,0,0.0,2,1.835721,3.552565767508604,-2.677108,-3.552565767508604,3.415284,28,23,5
高吉　正真,Shoma Takayoshi,CMF,セントラルMF,1536.0,1536.0,0.484691,0,7.810044414075845,7.810044414075845,0.464164,0,0.1844892381277759,0.1844892381277759,-0.280155,0,79.40531295487628,79.40531295487628,0.274914,0,59.651973684210525,59.651973684210525,0.399785,0,57.78748180494906,57.78748180494906,-0.18629,0,10.116448326055313,10.116448326055313,0.483706,0,32.677165354330704,32.677165354330704,-0.366541,0,0,0.0,1,1.082036,1.0820348390990004,0.672956,-1.0820348390990004,0.488409,11,7,10
神垣　陸,Riku Kamigaki,CMF,セントラルMF,1538.0166666666669,1538.0166666666669,0.490307,0,4.114555964266947,4.372245680195356,-1.725102,0,0.094587493431424,0.094587493431424,-1.029309,0,74.46011477761839,74.46011477761839,-0.860151,0,43.40878048780488,43.40878048780488,-2.012481,0,56.9583931133429,56.9583931133429,-0.341655,0,8.751793400286944,8.751793400286944,-0.131546,0,27.58620689655172,27.58620689655172,-1.390187,0,0,0.0,0,2.902358,3.600484210411427,-0.9964969999999999,-3.600484210411427,-3.214287,24,24,28
堀内　颯人,Hayato Horiuchi,CMF,セントラルMF,1680.042553191489,1680.042553191489,0.885767,0,7.9801192842942354,7.9801192842942354,0.572472,0,0.4294234592445328,0.4294234592445328,1.76089,0,83.16666666666667,83.16666666666667,1.138253,0,62.94396551724139,62.94396551724139,0.888676,0,52.63157894736842,52.63157894736842,-1.152467,0,11.017543859649123,11.017543859649123,0.889963,0,32.28699551569507,32.28699551569507,-0.444993,0,0,0.0,1,2.609953,2.609952570947794,0.32418199999999997,-2.609952570947794,0.8744620000000001,12,16,8
井澤　春輝,Haruki Izawa,CMF,セントラルMF,1198.84,1198.84,-0.454105,0,5.04,5.04,-1.299861,0,0.045,0.045,-1.442524,0,79.06860103626944,79.06860103626944,0.197629,0,55.41305732484077,55.41305732484077,-0.229734,0,56.47668393782384,56.47668393782384,-0.431923,0,9.740932642487046,9.740932642487046,0.314406,0,36.607142857142854,36.607142857142854,0.423664,0,0,0.0,1,2.266655,2.266655471430098,-1.183084,-2.266655471430098,-0.46402799999999994,25,13,22
前澤　甲気,Koki Maezawa,CMF,セントラルMF,1651.8260869565215,1651.8260869565215,0.8072,0,10.032267527134058,10.032267527134058,1.879325,0,0.4488119683191551,0.4337858737863228,1.797242,0,66.1006031363088,68.84746716634365,-2.148416,0,48.357341772151905,48.357341772151905,-1.277574,0,55.60916767189384,55.60916767189384,-0.594489,0,12.907117008443908,12.907117008443908,1.741874,0,32.631578947368425,32.631578947368425,-0.375707,0,0,0.0,0,3.277284,4.153217438899269,5.769615,-4.153217438899269,-4.020479,1,28,30
菅井　拓也,Takuya Sugai,CMF,セントラルMF,1221.7619047619048,1221.7619047619048,-0.390281,0,8.6845521419299,8.6845521419299,1.02107,0,0.1947209000432713,0.1947209000432713,-0.194894,0,82.9072802197802,82.9072802197802,1.078717,0,58.344067796610176,58.344067796610176,0.205549,0,52.19780219780221,52.19780219780221,-1.233754,0,9.40934065934066,9.40934065934066,0.164908,0,42.600896860986545,42.600896860986545,1.628836,0,0,0.0,1,2.232291,2.232290952906229,0.10726100000000005,-2.232290952906229,0.05051199999999989,13,12,12
