cluster_id,cluster_label,rank,overall_rank_without_filter,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,top10_filter_mode,top10_imputed_ratio_threshold_used,official_top10_eligible_count,analysis_position_jp,imputed_count,imputed_ratio,z_shot_conversion_rate_pct,z_out_box_shots_per90,z_box_shots_per90,z_shot_on_target_rate_pct,z_goals_per90,z_aerial_wins_per90,z_successful_forward_passes_per90,z_last_passes_per90,z_attacking_third_gains_per90,z_sprint_count_full_all_per_match
0,平均型,1,31,丹羽　詩温,Shion Niwa,FW,0,平均型,-1.1947751247929461,1.1947751247929461,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.053715,-0.862409,0.225396,-0.635517,-0.114032,0.065507,-0.43698,-0.838221,-0.84454,0.278265
0,平均型,2,35,島田　拓海,Takumi Shimada,FW,0,平均型,-1.5139980516209393,1.5139980516209393,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.518767,-0.398271,0.230164,-0.626026,-0.494146,-0.064289,0.128933,0.286653,-1.116031,0.525238
0,平均型,3,36,パトリック　グスタフソン,Patrik Gustavsson,FW,0,平均型,-1.5597083819743356,1.5597083819743356,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.262283,0.940985,-0.113341,0.557976,-0.168382,-0.132674,0.367509,-0.454257,-0.374177,0.111139
0,平均型,4,37,田口　裕也,Yuya Taguchi,FW,0,平均型,-1.582180343090825,1.582180343090825,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,0.415565,-0.019012,0.42395,-0.050247,0.795834,0.968225,-0.658757,-0.405645,-0.052428,0.711888
0,平均型,5,39,マリソン,Marlyson Conceição Oliveira,FW,0,平均型,-1.8345905190687648,1.8345905190687648,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,0.568627,-1.019479,0.068983,0.054698,0.466687,0.605003,-0.583038,-0.334691,-0.42977,-1.066645
0,平均型,6,40,髙木　彰人,Akito Takagi,FW,0,平均型,-1.8847515396091339,1.8847515396091339,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.649625,-0.514674,0.416,1.145701,-0.584423,-0.642511,-0.822942,-0.330019,0.261913,-0.112621
0,平均型,7,41,安藤　翼,Tsubasa Ando,FW,0,平均型,-1.9220250130526397,1.9220250130526397,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.239306,0.970895,-0.497167,-0.308163,-0.297045,-0.774328,0.302747,0.172012,0.105624,-0.561167
0,平均型,8,42,冨永　虹七,Niina Tominaga,FW,0,平均型,-1.966779149987105,1.966779149987105,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.61376,0.253794,0.198743,0.287232,-0.523685,-0.039159,-0.526573,-0.452115,1.156649,0.949026
0,平均型,9,43,澤上　竜二,Ryuji Sawakami,FW,0,平均型,-1.9775220319799223,1.9775220319799223,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,-0.11165,0.264974,-0.986171,-0.557481,-0.517905,0.85336,-1.044057,0.311202,0.020081,0.831799
0,平均型,10,44,和田　育,Hagumi Wada,FW,0,平均型,-2.071524267227879,2.071524267227879,"score_cluster_0 = - euclidean_distance(player_z_vector, fw_cluster_0_center_z_vector)",strict,0.25,82,フォワード,0,0.0,0.90959,-0.444905,-0.055722,0.054855,0.746339,-0.545094,-1.278667,-0.067745,-0.837919,1.434246
