FB_Name,SC_Name,analysis_position_code,analysis_position_jp,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,cluster_id,cluster_distance_to_center
内田　瑞己,Mizuki  Uchida,SB,サイドバック,0.286296,0.653839,1.230405,0.735543,-0.331672,-0.245602,0.376761,-0.003480,-0.508210,-0.008489,0,1.686073
音泉　翔眞,Shoma Otoizumi,SB,サイドバック,1.632723,2.111284,2.179964,0.190297,0.547921,0.438918,0.336057,0.768967,0.109247,-0.233042,0,2.409709
杉井　颯,Hayate Sugii,SB,サイドバック,1.187208,1.009612,0.961846,-0.822477,1.365617,-0.566324,0.068097,0.270890,0.027658,1.785181,0,2.263383
下川　陽太,Yota Shimokawa,SB,サイドバック,0.828241,0.452431,0.426718,1.584213,0.857809,1.352133,1.073816,0.920695,0.720806,-0.253879,3,1.617586
藤春　廣輝,Hiroki Fujiharu,SB,サイドバック,1.267074,1.270562,1.392751,-0.646775,0.110687,-1.476721,-0.145369,-1.276362,0.720562,-0.901435,0,2.336080
小澤　秀充,Hideatsu Ozawa,SB,サイドバック,1.262479,0.977108,0.711540,-0.063676,0.435834,2.299053,0.580047,-0.367923,-0.521541,-1.161825,3,2.332301
山脇　樺織,Kaoru Yamawaki,SB,サイドバック,1.263527,1.627308,2.267129,1.650901,1.125193,1.281056,0.948967,1.368033,-0.121273,0.779927,3,2.967165
松本　雄真,Yuma Matsumoto,SB,サイドバック,0.958497,1.513738,1.439638,0.000092,-0.328639,-0.313168,0.147298,0.133271,-0.385179,1.519893,0,2.012634
鈴　直樹,Naoki Suzu,SB,サイドバック,0.856061,0.510364,-0.025592,-0.816157,0.524067,-0.809830,-1.422234,1.943269,0.004329,0.916953,0,2.675208
安在　達弥,Tatsuya Anzai,SB,サイドバック,0.233454,0.429355,0.261311,-1.220895,1.360025,-0.442816,0.522300,-0.411658,0.642863,-0.866602,0,2.208358
舘野　俊祐,Shunsuke Tachino,SB,サイドバック,0.027428,-0.449805,-0.974561,0.632061,-0.594137,0.172601,-0.594934,0.170298,-0.484246,1.009902,2,1.917574
生駒　稀生,Kei Ikoma,SB,サイドバック,0.537670,-0.090358,0.129225,-1.189262,0.579096,-1.668949,0.159096,0.912342,0.501897,0.559926,0,2.379178
松長根　悠仁,Yuto  Matsunagane,SB,サイドバック,0.432556,0.843836,0.965812,-0.505384,0.579433,-0.780581,-0.263473,1.864946,0.770605,-0.169841,0,2.095223
文　仁柱,In Ju Mun,SB,サイドバック,0.789303,0.820812,0.763637,-0.951482,-0.334267,0.008602,0.514823,0.516691,0.531757,1.146728,0,1.739526
樋口　大輝,Daiki Higuchi,SB,サイドバック,0.675890,0.397318,-0.056130,-0.980284,-0.683172,-1.599563,0.633714,1.118171,-0.490213,-0.588452,0,2.566867
西谷　和希,Kazuki Nishiya,SB,サイドバック,0.686575,0.742155,0.565865,0.176937,0.163568,1.244491,1.092321,-0.828875,0.042473,-1.812472,3,2.314818
橋本　陸,Riku Hashimoto,SB,サイドバック,-0.020107,0.195765,0.320694,0.598567,-0.693424,0.121956,0.158306,-0.785484,0.042371,-0.378740,2,1.522851
丸山　壮大,Sota Maruyama,SB,サイドバック,-0.387809,-0.199342,-0.107082,-1.194792,-1.936441,-1.839375,-0.807811,-0.396043,-0.769930,-0.129639,2,3.043901
小島　雅也,Masaya Kojima,SB,サイドバック,-0.021293,0.119749,0.045566,0.966522,-0.316452,0.432851,-0.428997,-0.210494,0.330639,-0.624521,2,1.579131
美馬　和也,Kazuya Mima,SB,サイドバック,0.535453,0.520140,0.678543,-0.882063,0.264398,-0.880481,-0.607831,-0.708045,0.329975,0.053569,0,1.375433
山本　龍平,Ryuhei Yamamoto,SB,サイドバック,-0.123934,-0.124445,0.069967,0.997822,0.222927,-0.500547,0.949599,0.460010,-0.211613,-0.998103,2,1.983212
乾　貴哉,Takaya Inui,SB,サイドバック,0.537410,0.270370,0.226290,-0.606461,0.387465,-0.624033,0.034280,0.491223,1.356799,0.050818,0,1.651351
石原　崇兆,Takayoshi Ishihara,SB,サイドバック,-0.460750,-0.357001,-0.262577,-1.082163,1.360593,0.283133,1.833102,-1.791312,1.168900,-0.336315,2,3.347937
荒木　遼太,Ryota Araki,SB,サイドバック,1.248243,2.052963,2.290152,0.942187,-1.825812,-0.166936,-1.421909,-0.972890,0.720407,-1.678491,0,3.940470
加々美　登生,Toi Kagami,SB,サイドバック,-0.483774,-0.254952,-0.032670,-1.051652,-0.632699,-0.089700,1.884096,-0.816418,-0.295732,-0.574142,2,2.463510
近藤　貴司,Takashi Kondo,SB,サイドバック,0.727760,1.159365,1.534419,0.591225,0.393202,1.122487,1.243198,-1.540980,-0.855911,-1.191356,3,2.438194
上月　翔聖,Shosei Kozuki,SB,サイドバック,1.530515,2.038025,2.290152,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,2.108483
濱　託巳,Takumi Hama,SB,サイドバック,0.657724,0.696112,0.550307,-0.220498,0.896041,-0.097711,0.422187,-0.641625,0.084287,0.012268,0,1.229857
高野　遼,Ryo Takano,SB,サイドバック,-0.281925,0.214548,0.664368,1.948726,0.221536,1.309815,0.908576,-0.805747,-0.211403,-1.175841,3,1.410535
外山　凌,Ryo Toyama,SB,サイドバック,1.382771,0.900243,0.593415,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.645148
オタボー　ケネス,Kenneth Otabor,SB,サイドバック,-0.533422,-0.725133,-0.550592,-0.721708,0.692700,-0.046970,-0.315759,-1.273631,1.597734,-0.767067,2,2.380596
石田　崚真,Ryoma Ishida,SB,サイドバック,-0.692455,0.071251,0.374255,0.533533,-0.166468,0.691306,-1.130962,-0.888755,0.361424,-0.374778,2,1.831505
安光　将作,Shosaku Yasumitsu,SB,サイドバック,1.617430,2.083014,1.266802,-0.484935,1.101176,0.571172,-0.444972,0.330429,0.682925,0.185079,0,2.040553
吉田　源太郎,Gentaro Yoshida,SB,サイドバック,0.646995,1.012085,1.486355,1.390498,-0.776050,1.741798,0.776793,-1.246242,0.497969,-0.237001,3,2.303801
青木　義孝,Yoshitaka Aoki,SB,サイドバック,1.926616,0.991568,0.363387,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,1.148654
泉　柊椰,Toya Izumi,SB,サイドバック,0.629932,2.111284,2.211656,1.007188,0.868930,3.225872,0.421859,0.918671,0.239833,-0.860764,3,3.240279
忽那　喬司,Kyoji Kutsuna,SB,サイドバック,-0.195906,-0.154281,-0.047599,-0.714461,-0.443097,0.234541,-1.242694,0.083356,1.266681,0.370012,2,2.291510
田中　恵太,Keita Tanaka,SB,サイドバック,-0.889177,-1.204178,-1.412997,0.477801,-0.450551,-0.084976,0.791867,-1.280111,0.551559,-0.249976,2,2.129670
大谷　駿斗,Hayato Otani,SB,サイドバック,-0.751395,0.113283,0.759213,2.005513,-0.057729,1.438760,0.423058,-1.068260,-0.769930,-1.057804,3,1.937702
近藤　高虎,Takatora Kondo,SB,サイドバック,1.884675,1.584775,0.911589,-0.191804,0.459713,0.297207,-0.557297,0.770083,-0.211333,0.774701,0,1.765197
吉村　弦,Yuzuru Yoshimura,SB,サイドバック,1.066098,0.508879,0.203395,0.338936,0.996874,1.253281,-1.420525,-0.340063,0.041965,0.861170,0,2.443130
安藤　由翔,Naoto Ando,SB,サイドバック,0.759973,0.961781,0.513358,0.473851,1.201428,0.525076,-1.422114,0.283394,-0.798462,-1.086787,0,2.398409
森川　裕基,Yuki Morikawa,SB,サイドバック,0.512405,0.376560,0.303330,-0.852930,-1.504063,-0.943830,-0.919868,-0.548097,1.700892,-0.578529,0,2.850411
田中　康介,Kosuke Tanaka,SB,サイドバック,-0.144594,-0.362241,-0.315361,1.995976,0.376405,0.909196,1.705251,0.092115,-1.185578,-0.519036,3,1.948961
鈴木　裕斗,Hiroto  Suzuki,SB,サイドバック,1.240985,1.347483,1.669342,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,1.206946
上原　牧人,Makito Uehara,SB,サイドバック,-0.003846,0.244077,0.157478,0.482303,1.224501,0.788654,1.093327,-0.758347,0.433976,-0.433657,3,1.839469
安藤　一哉,Kazuya Ando,SB,サイドバック,-0.187752,-0.236256,-0.361108,2.115528,-1.989153,0.007754,-0.729527,1.352530,-1.481228,-1.235375,2,3.750137
宮脇　茂夫,Shigeo Miyawaki,SB,サイドバック,0.246141,0.283823,0.311558,3.796978,1.449256,3.225872,-0.631406,3.584364,-1.989297,2.739642,3,6.065996
高野　裕維,Yui Takano,SB,サイドバック,1.664249,0.183676,-0.734574,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,1.808628
河村　匠,Takumi Kawamura,SB,サイドバック,0.477159,0.868461,0.836944,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,0.654509
奥井　諒,Ryo Okui,SB,サイドバック,0.518739,-0.234151,-0.127976,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,2,1.212658
川名　連介,Rensuke Kawana,SB,サイドバック,-0.036814,0.352021,0.691386,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072,0,1.185871
冨士田　康人,Yasuto Fujita,SB,サイドバック,1.981635,1.588225,0.648839,-1.497637,0.000517,-1.707825,0.423124,1.564456,-1.185319,0.592849,0,3.166981
下口　稚葉,Wakaba Shimoguchi,SB,サイドバック,1.493268,0.857177,-0.525327,0.195700,-0.412333,-0.240516,0.045716,-0.019362,1.274725,0.052884,0,1.957248
