FB_Name,SC_Name,analysis_position_code,cluster_id,analysis_position_jp,cluster_distance_to_center,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90,distance_to_cluster_center_2,score_cluster_0,score_cluster_1,score_cluster_2,score_cluster_3,rank_cluster_0,rank_cluster_1,rank_cluster_2,rank_cluster_3
内田　瑞己,Mizuki  Uchida,SB,0,サイドバック,1.686073,0.286296,0.653839,1.230405,0.735543,-0.331672,-0.245602,0.376761,-0.00348,-0.50821,-0.008489,2.3608660653810922,2.17054,-0.5201790000000001,-2.3608660653810922,0.866702,28,80,43,32
音泉　翔眞,Shoma Otoizumi,SB,0,サイドバック,2.409709,1.632723,2.111284,2.179964,0.190297,0.547921,0.438918,0.336057,0.768967,0.109247,-0.233042,4.457503874706897,5.923971,0.645172,-4.457503874706897,0.9652719999999999,1,32,107,30
杉井　颯,Hayate Sugii,SB,0,サイドバック,2.263383,1.187208,1.009612,0.961846,-0.822477,1.365617,-0.566324,0.068097,0.27089,0.027658,1.785181,3.812183934056829,3.1586659999999998,2.083729,-3.812183934056829,-1.3207039999999999,16,13,95,99
下川　陽太,Yota Shimokawa,SB,3,サイドバック,1.617586,0.828241,0.452431,0.426718,1.584213,0.857809,1.352133,1.073816,0.920695,0.720806,-0.253879,3.52368613128241,1.70739,1.387622,-3.52368613128241,4.010162,38,22,86,7
藤春　廣輝,Hiroki Fujiharu,SB,0,サイドバック,2.33608,1.267074,1.270562,1.392751,-0.646775,0.110687,-1.476721,-0.145369,-1.276362,0.720562,-0.901435,3.7261781592123318,3.930387,-1.4572349999999998,-3.7261781592123318,-2.268865,11,100,92,106
小澤　秀充,Hideatsu Ozawa,SB,3,サイドバック,2.332301,1.262479,0.977108,0.71154,-0.063676,0.435834,2.299053,0.580047,-0.367923,-0.521541,-1.161825,3.6801780223957916,2.9511269999999996,-2.051289,-3.6801780223957916,2.8154239999999997,19,109,91,14
山脇　樺織,Kaoru Yamawaki,SB,3,サイドバック,2.967165,1.263527,1.627308,2.267129,1.650901,1.125193,1.281056,0.948967,1.368033,-0.121273,0.779927,5.043433882703233,5.157964,2.0266870000000003,-5.043433882703233,3.880924,4,15,111,10
松本　雄真,Yuma Matsumoto,SB,0,サイドバック,2.012634,0.958497,1.513738,1.439638,9.2e-05,-0.328639,-0.313168,0.147298,0.133271,-0.385179,1.519893,3.6190565736727573,3.911873,1.267985,-3.6190565736727573,-0.165778,12,25,89,78
鈴　直樹,Naoki Suzu,SB,0,サイドバック,2.675208,0.856061,0.510364,-0.025592,-0.816157,0.524067,-0.80983,-1.422234,1.943269,0.004329,0.916953,3.5974619016997247,1.340833,2.8645509999999996,-3.5974619016997247,-3.048221,41,10,88,117
安在　達弥,Tatsuya Anzai,SB,0,サイドバック,2.208358,0.233454,0.429355,0.261311,-1.220895,1.360025,-0.442816,0.5223,-0.411658,0.642863,-0.866602,2.62255452784761,0.92412,-0.635397,-2.62255452784761,-1.1414110000000002,50,82,54,97
