cluster_id,cluster_label,rank,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,analysis_position_jp,z_running_distance_full_all_per_match,z_hi_distance_full_all_per_match,z_sprint_count_full_all_per_match,z_crosses_per90,z_cross_success_rate_pct,z_pa_entry_per90,z_tackle_win_rate_pct,z_blocks_per90,z_forward_long_pass_success_rate_pct,z_regain_within_5s_per90
0,上下動型,1,音泉　翔眞,Shoma Otoizumi,SB,0,上下動型,5.923971,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.632723,2.111284,2.179964,0.190297,0.547921,0.438918,0.336057,0.768967,0.109247,-0.233042
0,上下動型,2,上月　翔聖,Shosei Kozuki,SB,0,上下動型,5.8586920000000005,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.530515,2.038025,2.290152,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
0,上下動型,3,荒木　遼太,Ryota Araki,SB,0,上下動型,5.591358,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.248243,2.052963,2.290152,0.942187,-1.825812,-0.166936,-1.421909,-0.97289,0.720407,-1.678491
0,上下動型,4,山脇　樺織,Kaoru Yamawaki,SB,3,攻撃参加型,5.157964,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.263527,1.627308,2.267129,1.650901,1.125193,1.281056,0.948967,1.368033,-0.121273,0.779927
0,上下動型,5,安光　将作,Shosaku Yasumitsu,SB,0,上下動型,4.967246,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.61743,2.083014,1.266802,-0.484935,1.101176,0.571172,-0.444972,0.330429,0.682925,0.185079
0,上下動型,6,泉　柊椰,Toya Izumi,SB,3,攻撃参加型,4.952872,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,0.629932,2.111284,2.211656,1.007188,0.86893,3.225872,0.421859,0.918671,0.239833,-0.860764
0,上下動型,7,秋山　陽介,Yosuke Akiyama,SB,0,上下動型,4.7852820000000005,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.981635,1.440456,1.363191,-1.032607,0.58036,-0.808552,0.949599,-1.680792,-0.76993,0.358635
0,上下動型,8,近藤　高虎,Takatora Kondo,SB,0,上下動型,4.381039,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.884675,1.584775,0.911589,-0.191804,0.459713,0.297207,-0.557297,0.770083,-0.211333,0.774701
0,上下動型,9,鈴木　裕斗,Hiroto  Suzuki,SB,0,上下動型,4.25781,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.240985,1.347483,1.669342,-0.083758,0.146202,-0.087338,0.077665,-0.027378,0.042422,-0.176072
0,上下動型,10,冨士田　康人,Yasuto Fujita,SB,0,上下動型,4.218699,,score_cluster_0 = z_hi_distance_full_all_per_match + z_running_distance_full_all_per_match + z_sprint_count_full_all_per_match,サイドバック,1.981635,1.588225,0.648839,-1.497637,0.000517,-1.707825,0.423124,1.564456,-1.185319,0.592849
1,守備回収・配球型,1,玉城　大志,Taishi Tamashiro,SB,1,守備回収・配球型,6.912623,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,-0.062984,-0.962445,-1.734863,-1.516458,-2.895222,2.424449,0.422597,3.265895,1.784934,1.861794
1,守備回収・配球型,2,柴田　徹,Toru Shibata,SB,1,守備回収・配球型,6.586629,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,-1.614213,-1.504434,-1.408004,-0.8991,1.738887,-0.454779,0.948809,2.219246,1.565157,2.802226
1,守備回収・配球型,3,小泉　隆斗,Ryuto Koizumi,SB,1,守備回収・配球型,6.300695,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,-0.584976,-0.787125,-0.946138,-0.397534,0.310869,-0.52969,-1.420525,0.207366,1.882637,4.210692
1,守備回収・配球型,4,梅木　怜,Rei Umeki,SB,0,上下動型,4.602316999999999,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,-0.141376,0.240593,0.624206,-0.179237,-0.033387,0.38575,0.653161,1.857854,0.938259,1.806204
1,守備回収・配球型,5,宮脇　茂夫,Shigeo Miyawaki,SB,3,攻撃参加型,4.334709,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,0.246141,0.283823,0.311558,3.796978,1.449256,3.225872,-0.631406,3.584364,-1.989297,2.739642
1,守備回収・配球型,6,大熊　健太,Kenta Okuma,SB,1,守備回収・配球型,3.85614,,score_cluster_1 = z_blocks_per90 + z_regain_within_5s_per90 + z_forward_long_pass_success_rate_pct,サイドバック,-1.590057,-2.370645,-2.116199,-0.748671,1.738887,0.112477,0.422597,-1.820128,1.465576,4.210692
