cluster_id,cluster_label,rank,overall_rank_without_filter,FB_Name,SC_Name,analysis_position_code,original_cluster_id,original_cluster_label,score,distance_to_cluster_center,score_formula,top10_filter_mode,top10_imputed_ratio_threshold_used,official_top10_eligible_count,analysis_position_jp,imputed_count,imputed_ratio,z_sprint_distance_full_all_per_match,z_hsr_count_full_all_per_match,z_dribble_success_rate_pct,z_crosses_per90,z_cross_success_rate_pct,z_last_passes_per90,z_pa_entry_per90,z_shot_conversion_rate_pct,z_regain_within_5s_per90
0,縦突破型,1,1,長野　星輝,Shoki  Nagano,SH,0,縦突破型,7.973468,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,1.913361,0.844044,-0.421605,0.287713,-0.91117,0.073548,5.216063,0.324417,-1.124395
0,縦突破型,2,2,森　晃太,Kota Mori,SH,0,縦突破型,6.330317,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,2.524998,1.657056,1.018895,1.198483,0.112974,0.304038,2.148263,-0.037481,-1.360179
0,縦突破型,3,3,稲積　大介,Daisuke Inazumi,SH,0,縦突破型,6.158566,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,3.030269,2.20528,0.057077,3.818485,-0.320422,0.932548,0.923017,-1.296257,0.126724
0,縦突破型,4,4,久保　吏久斗,Rikuto Kubo,SH,0,縦突破型,5.979223999999999,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,3.030269,2.081601,-0.08327,2.33551,0.588164,1.04588,0.867354,-0.48592,-1.02739
0,縦突破型,5,8,岡田　優希,Yuki Okada,SH,0,縦突破型,4.180605,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,1.372315,2.08093,0.67545,0.310048,1.417842,0.223569,0.72736,1.370674,-1.279038
0,縦突破型,6,9,梶浦　勇輝,Yuki Kajiura,SH,0,縦突破型,4.085108000000001,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,2.040655,2.132062,-0.47409,-0.073949,0.161587,-0.193984,-0.087609,1.245976,-0.483332
0,縦突破型,7,10,吉長　真優,Mahiro Yoshinaga,SH,2,クロス供給型,4.025262,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,-0.376365,-0.814436,0.187959,4.587927,0.315013,-2.200545,5.216063,-1.296257,-2.184839
0,縦突破型,8,11,塩浜　遼,Ryo Shiohama,SH,0,縦突破型,3.976584,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,1.294529,1.288403,0.681431,0.412821,0.626014,0.495259,1.393652,1.905073,-0.823783
0,縦突破型,9,12,泉澤　仁,Jin Izumisawa,SH,2,クロス供給型,3.9695,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,-0.631717,-0.614846,2.017107,4.587927,0.042528,3.286769,5.216063,2.755427,-2.184839
0,縦突破型,10,13,大関　友翔,Yuto  Ozeki,SH,0,縦突破型,3.857417,,score_cluster_0 = z_sprint_distance_full_all_per_match + z_hsr_count_full_all_per_match + z_pa_entry_per90,strict,0.25,146,サイドハーフ,0,0.0,0.459452,1.298101,0.141374,-0.58718,0.170467,1.358412,2.099864,0.939155,0.057645
1,守備回収型,1,1,弓削　翼,Tsubasa  Yuge,SH,1,守備回収型,5.401961,,score_cluster_1 = z_regain_within_5s_per90 - z_dribble_success_rate_pct,strict,0.25,146,サイドハーフ,0,0.0,-0.248462,0.640162,-2.555077,-0.916502,0.31256,1.864414,0.451096,0.177083,2.846884
1,守備回収型,2,2,鍵山　慶司,Keiji Kagiyama,SH,1,守備回収型,5.401961,,score_cluster_1 = z_regain_within_5s_per90 - z_dribble_success_rate_pct,strict,0.25,146,サイドハーフ,0,0.0,-1.608673,-1.881936,-2.555077,-1.200331,-2.137353,-2.200545,-0.67429,-1.296257,2.846884
1,守備回収型,3,3,下上　昇大,Shota Shimogami,SH,1,守備回収型,5.360257,,score_cluster_1 = z_regain_within_5s_per90 - z_dribble_success_rate_pct,strict,0.25,146,サイドハーフ,0,0.0,-0.967382,-1.126817,-2.555077,0.127001,1.542422,-1.213859,-0.185593,3.334239,2.80518
1,守備回収型,4,4,土館　賢人,Kento Dodate,SH,1,守備回収型,4.5832049999999995,,score_cluster_1 = z_regain_within_5s_per90 - z_dribble_success_rate_pct,strict,0.25,146,サイドハーフ,0,0.0,-1.607548,-2.209154,-2.555077,-1.212758,3.371165,-1.716055,-1.365646,-1.296257,2.028128
1,守備回収型,5,5,住田　将,Sho Sumida,SH,1,守備回収型,4.2646049999999995,,score_cluster_1 = z_regain_within_5s_per90 - z_dribble_success_rate_pct,strict,0.25,146,サイドハーフ,0,0.0,-0.36592,-1.407721,-2.555077,-0.553658,0.315013,0.699376,-0.677504,-1.296257,1.709528
