archetype,rank,overall_rank_without_filter,FB_Name,SC_Name,analysis_position_code,analysis_position_jp,score,score_formula,imputed_count,imputed_ratio,top10_filter_mode,top10_imputed_ratio_threshold_used,z_shot_conversion_rate_pct,z_box_shots_per90,z_goals_per90,z_sprint_count_full_all_per_match,z_last_passes_per90,z_successful_through_passes_per90,z_attacking_third_gains_per90
ラインレシーバー,1,1,井上　直輝,Naoki Inoue,ST,セカンドトップ,4.728950555211304,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,0.1822269728818853,0.2294630868127017,0.1584367076938164,-0.710807581605745,2.253175098006982,2.4757754572043225,-0.6231037787407043
ラインレシーバー,2,2,矢田　旭,Asahi Yada,ST,セカンドトップ,2.0462659288548037,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,-1.4227833627637858,-0.6892602171991606,-1.4390302682871332,-1.3629472703344665,1.251473453086792,0.7947924757680117,-0.0565135951372431
ラインレシーバー,3,3,上野　瑶介,Yosuke Ueno,ST,セカンドトップ,0.48236181143743023,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,-1.4227833627637858,1.9754646354660248,-1.4390302682871332,-0.5725852906967532,0.874145199878518,-0.3917833884410878,-1.721493520638642
ラインレシーバー,4,4,佐々木　陽次,Yoji Sasaki,ST,セカンドトップ,0.20835328844743828,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,0.8700885453014585,1.129721184231081,0.993476263320222,-1.0333262603933926,-0.8403918002010841,1.0487450886485223,1.205465507487113
ラインレシーバー,5,5,髙橋　馨希,Yoshiki Takahashi,ST,セカンドトップ,-0.7097126699986617,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,0.4654640909370036,-1.223526742316161,0.6184201901649029,0.9924108956281952,0.3975255229634008,-1.1072381929620625,0.9899499591606729
ラインレシーバー,6,7,三田　尚希,Naoki Sanda,ST,セカンドトップ,-0.9669413634634778,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,-0.6202781949409502,-0.4008818493889952,-0.7040583377070568,1.1237791886408728,-0.78073822740823,-0.1862031360552478,-0.2054328296756512
ラインレシーバー,7,8,平原　隆暉,Ryuki Hirahara,ST,セカンドトップ,-0.9943418563128532,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,-1.4227833627637858,0.8619797540607447,-1.4390302682871332,-1.242753973891865,-0.5547695129915173,-0.4395723433213358,-1.721493520638642
ラインレシーバー,8,9,加藤　潤也,Junya Kato,ST,セカンドトップ,-1.1424146415380818,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,1.2522338633123324,0.2711102747796514,0.9100569721128366,1.092365031616102,-0.918107416035396,-0.2243072255026858,0.2974944823013259
ラインレシーバー,9,10,菊谷　篤資,Atsushi  Kikutani,ST,セカンドトップ,-1.2590743029008031,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,0.5425354155778522,-0.4541378927681481,1.055092618195739,0.7689840034199315,-0.4780384618793411,-0.7810358410214621,0.2957156382458724
ラインレシーバー,10,11,奥村　晃司,Koji Okumura,ST,セカンドトップ,-1.56899745532979,score_line_receiver = z_last_passes_per90 + z_successful_through_passes_per90,0,0.0,strict,0.25,1.2522338633123324,-1.6142228523895992,0.8972379421515817,-0.3080450210144724,-0.6878698679847028,-0.8811275873450872,1.419810636081588
シャドーストライカー,1,1,佐々木　陽次,Yoji Sasaki,ST,セカンドトップ,2.9932859928527615,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,0.8700885453014585,1.129721184231081,0.993476263320222,-1.0333262603933926,-0.8403918002010841,1.0487450886485223,1.205465507487113
シャドーストライカー,2,2,加藤　潤也,Junya Kato,ST,セカンドトップ,2.4334011102048203,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,1.2522338633123324,0.2711102747796514,0.9100569721128366,1.092365031616102,-0.918107416035396,-0.2243072255026858,0.2974944823013259
シャドーストライカー,3,3,菊谷　篤資,Atsushi  Kikutani,ST,セカンドトップ,1.1434901410054432,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,0.5425354155778522,-0.4541378927681481,1.055092618195739,0.7689840034199315,-0.4780384618793411,-0.7810358410214621,0.2957156382458724
シャドーストライカー,4,5,井上　直輝,Naoki Inoue,ST,セカンドトップ,0.5701267673884034,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,0.1822269728818853,0.2294630868127017,0.1584367076938164,-0.710807581605745,2.253175098006982,2.4757754572043225,-0.6231037787407043
シャドーストライカー,5,6,奥村　晃司,Koji Okumura,ST,セカンドトップ,0.535248953074315,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,1.2522338633123324,-1.6142228523895992,0.8972379421515817,-0.3080450210144724,-0.6878698679847028,-0.8811275873450872,1.419810636081588
シャドーストライカー,6,7,髙橋　馨希,Yoshiki Takahashi,ST,セカンドトップ,-0.1396424612142546,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,0.4654640909370036,-1.223526742316161,0.6184201901649029,0.9924108956281952,0.3975255229634008,-1.1072381929620625,0.9899499591606729
シャドーストライカー,7,8,上野　瑶介,Yosuke Ueno,ST,セカンドトップ,-0.8863489955848942,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,-1.4227833627637858,1.9754646354660248,-1.4390302682871332,-0.5725852906967532,0.874145199878518,-0.3917833884410878,-1.721493520638642
シャドーストライカー,8,9,三田　尚希,Naoki Sanda,ST,セカンドトップ,-1.7252183820370022,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,-0.6202781949409502,-0.4008818493889952,-0.7040583377070568,1.1237791886408728,-0.78073822740823,-0.1862031360552478,-0.2054328296756512
シャドーストライカー,9,10,平原　隆暉,Ryuki Hirahara,ST,セカンドトップ,-1.9998338769901745,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,-1.4227833627637858,0.8619797540607447,-1.4390302682871332,-1.242753973891865,-0.5547695129915173,-0.4395723433213358,-1.721493520638642
シャドーストライカー,10,11,矢田　旭,Asahi Yada,ST,セカンドトップ,-3.5510738482500797,score_shadow_striker = z_box_shots_per90 + z_goals_per90 + z_shot_conversion_rate_pct,0,0.0,strict,0.25,-1.4227833627637858,-0.6892602171991606,-1.4390302682871332,-1.3629472703344665,1.251473453086792,0.7947924757680117,-0.0565135951372431
ハイプレス・イニシエーター,1,1,髙橋　馨希,Yoshiki Takahashi,ST,セカンドトップ,1.982360854788868,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,0.4654640909370036,-1.223526742316161,0.6184201901649029,0.9924108956281952,0.3975255229634008,-1.1072381929620625,0.9899499591606729
ハイプレス・イニシエーター,2,2,加藤　潤也,Junya Kato,ST,セカンドトップ,1.389859513917428,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,1.2522338633123324,0.2711102747796514,0.9100569721128366,1.092365031616102,-0.918107416035396,-0.2243072255026858,0.2974944823013259
ハイプレス・イニシエーター,3,4,奥村　晃司,Koji Okumura,ST,セカンドトップ,1.1117656150671156,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,1.2522338633123324,-1.6142228523895992,0.8972379421515817,-0.3080450210144724,-0.6878698679847028,-0.8811275873450872,1.419810636081588
ハイプレス・イニシエーター,4,5,菊谷　篤資,Atsushi  Kikutani,ST,セカンドトップ,1.0646996416658039,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,0.5425354155778522,-0.4541378927681481,1.055092618195739,0.7689840034199315,-0.4780384618793411,-0.7810358410214621,0.2957156382458724
ハイプレス・イニシエーター,5,6,三田　尚希,Naoki Sanda,ST,セカンドトップ,0.9183463589652215,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,-0.6202781949409502,-0.4008818493889952,-0.7040583377070568,1.1237791886408728,-0.78073822740823,-0.1862031360552478,-0.2054328296756512
ハイプレス・イニシエーター,6,7,佐々木　陽次,Yoji Sasaki,ST,セカンドトップ,0.17213924709372042,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,0.8700885453014585,1.129721184231081,0.993476263320222,-1.0333262603933926,-0.8403918002010841,1.0487450886485223,1.205465507487113
ハイプレス・イニシエーター,7,8,井上　直輝,Naoki Inoue,ST,セカンドトップ,-1.3339113603464492,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,0.1822269728818853,0.2294630868127017,0.1584367076938164,-0.710807581605745,2.253175098006982,2.4757754572043225,-0.6231037787407043
ハイプレス・イニシエーター,8,9,矢田　旭,Asahi Yada,ST,セカンドトップ,-1.4194608654717096,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,-1.4227833627637858,-0.6892602171991606,-1.4390302682871332,-1.3629472703344665,1.251473453086792,0.7947924757680117,-0.0565135951372431
ハイプレス・イニシエーター,9,10,上野　瑶介,Yosuke Ueno,ST,セカンドトップ,-2.294078811335395,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,-1.4227833627637858,1.9754646354660248,-1.4390302682871332,-0.5725852906967532,0.874145199878518,-0.3917833884410878,-1.721493520638642
ハイプレス・イニシエーター,10,11,平原　隆暉,Ryuki Hirahara,ST,セカンドトップ,-2.9642474945305066,score_high_press_initiator = z_attacking_third_gains_per90 + z_sprint_count_full_all_per_match,0,0.0,strict,0.25,-1.4227833627637858,0.8619797540607447,-1.4390302682871332,-1.242753973891865,-0.5547695129915173,-0.4395723433213358,-1.721493520638642
