Issue_Type,FB_Name,FB_Pos,FB_Minutes,SC_Name,SC_Position_Group,SC_Minutes,Mapping_Source,Top_Score,Gap_to_Second,Name_Score,Vector_Score,Minutes_Score,Candidate_Count,Notes
low_confidence_top_candidate,下口　稚葉,DF,2270.0,Wakaba Shimoguchi,Full Back,1557.9,auto_j3_outfield,77.78,15.68,50.0,92.16,68.63,5.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,佐相　壱明,DF,1890.0,Gen  Matsumura,Central Defender,1283.36,auto_j3_outfield,51.51,11.29,23.08,57.31,67.9,5.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,下堂　竜聖,DF,956.0,Ryusei Shimodo,Central Defender,461.55,auto_j3_outfield,75.75,1.37,58.82,87.07,48.28,3.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,毛利　駿也,DF,867.0,Takayoshi Ishihara,Full Back,3108.35,auto_j3_outfield,62.66,16.96,40.0,76.67,27.89,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,柳　世根,DF,548.0,Daiki Kogure,Full Back,769.61,auto_j3_outfield,76.42,2.02,43.48,92.8,71.2,4.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,鍵山　慶司,DF,312.0,Takayuki Fukumura,Central Defender,36.33,auto_j3_outfield,59.36,0.53,32.26,77.91,11.64,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,前澤　甲気,FW,3409.0,Yosuke Kamigata,Center Forward,75.3,auto_j3_outfield,56.88,1.29,31.25,75.55,2.21,4.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,松村　航希,FW,2099.0,Ryohei Wakizaka,Midfield,1381.53,auto_j3_outfield,69.64,6.75,31.25,87.86,65.82,3.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,音泉　翔眞,MF,6105.0,Koki Maezawa,Midfield,2334.9900000000002,auto_j3_outfield,52.43,6.69,33.33,58.86,38.25,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,岡田　優希,MF,5942.0,Riki  Tomizu,Midfield,147.38,auto_j3_outfield,46.07,46.07,38.1,50.76,2.48,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,小澤　秀充,MF,5391.0,Taishi Tamashiro,Midfield,123.33,auto_j3_outfield,49.85,8.2,38.71,57.72,2.29,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,富所　悠,MF,5180.0,Keiji Kagiyama,Midfield,361.81,auto_j3_outfield,43.68,0.15,22.22,54.45,6.98,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,川上　竜,MF,5102.0,Taisuke Mizuno,Midfield,318.31,auto_j3_outfield,36.79,36.79,30.77,36.41,6.24,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,佐藤　碧,MF,5024.0,Koki Maezawa,Midfield,2334.9900000000002,auto_j3_outfield,53.0,11.08,38.1,55.63,46.48,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,阿野　真拓,MF,4947.0,Jumpei Tanaka,Midfield,6.45,auto_j3_outfield,48.89,1.54,42.86,53.88,0.13,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,岡野　凜平,MF,4679.0,Yamato Machida,Midfield,181.9,auto_j3_outfield,41.78,41.78,30.77,46.47,3.89,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,普光院　誠,MF,4493.0,Taishi Tamashiro,Midfield,123.33,auto_j3_outfield,49.27,10.34,33.33,59.6,2.74,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,村越　凱光,MF,4352.0,Ryuji Kokubu,Midfield,307.32,auto_j3_outfield,49.66,49.66,25.0,64.34,7.06,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,丸山　壮大,MF,4213.0,Kodai Dohi,Midfield,228.36,auto_j3_outfield,46.39,0.92,41.67,48.75,5.42,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,増田　隼司,MF,4144.0,Yuto Kokuryo,Midfield,48.050000000000004,auto_j3_outfield,38.9,38.9,28.57,42.71,1.16,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,井上　怜,MF,3851.0,Ryoma Eguchi,Midfield,50.5,auto_j3_outfield,48.8,0.78,38.1,56.23,1.31,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,石原　崇兆,MF,3760.0,Shunya Mouri,Midfield,1020.8,auto_j3_outfield,59.28,59.28,37.04,72.03,27.15,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,荒木　大吾,MF,3726.0,Taisuke Mizuno,Midfield,318.31,auto_j3_outfield,56.91,20.58,32.0,73.95,8.54,3.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,前川　大河,MF,3536.0,Shunji Takemura,Midfield,136.81,auto_j3_outfield,56.24,23.59,28.57,75.55,3.87,3.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,森　夢真,MF,3450.0,Teruyoshi Ito,Midfield,4.7,auto_j3_outfield,50.27,50.27,46.15,54.64,0.14,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,梶浦　勇輝,MF,3219.0,Shunya Mouri,Midfield,1020.8,auto_j3_outfield,52.14,52.14,33.33,59.56,31.71,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,金浦　真樹,MF,3157.0,Kodai Dohi,Midfield,228.36,auto_j3_outfield,46.65,1.93,40.0,49.85,7.23,2.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,國武　勇斗,MF,3086.0,Riki  Tomizu,Midfield,147.38,auto_j3_outfield,39.14,39.14,42.86,34.24,4.78,1.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
low_confidence_top_candidate,川西　翔太,MF,3037.0,Shunji Takemura,Midfield,136.81,auto_j3_outfield,59.03,6.94,45.16,71.22,4.5,3.0,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0"
