SC_Name,FB_Name
Yūya Ōsako,大迫　勇也
Kosei Ashibe,
Naoto Miki,
Kisho Yano,
Hiroto Goya,
Kensei Nakashima,
Toa Suenaga,
Masashi Kokubun,
Kasper Junker,
Yuta Matsumura,
Riyo Kawamoto,川本　梨誉
Hisatsugu Ishii,
Vinicius Diniz Dall Antônia,
Takamitsu Tomiyama,富山　貴光
Oriola Sunday,
Taisei Kuwata,
Yoshiki Takahashi,
Kazuma Nagata,
Yuta Togashi,富樫　佑太
Yuto Yamashita,
Rafael Elias da Silva,
Edigar Junio Teixeira Lima,
Hisatoshi Nishido,
Ricardo Queiroz de Alencastro Graça,
Yuta Goke,
Riku Morioka,
Hide  Higashikawa,
Thonny Anderson Da Silva Carvalho,
Ko  Miyazaki,宮崎　鴻
Yusuke Chajima,
Amadou Bakayoko,アマドゥ　バカヨコ
Kyota Sakakibara,
Yuhi Takemoto,
Shosei Usui,
Toranosuke Onozeki,小野関　虎之介
Kazuki Nishiya,西谷　和希
Keisuke Ogasawara,
Erik Nascimento de Lima,
Dean David,
Shuta  Sasa,
Tete  Yengi,テテ　イェンギ
Masaki  Shintani,
Ryo Sato,
Douglas Willian da Silva Souza,
Yuki Morikawa,
Issei Tone,
Keigo Watanabe,渡邊　啓吾
Ryo Arita,有田　稜
Carlos Alberto de Souza Júnior,
Ryoji Fujimori,
Rei Umeki,
Kazuma Yamaguchi,
Kaito Taniguchi,谷口　海斗
Kento Hashimoto,
Taichi Kikuchi,
Tomoki Hino,日野　友貴
Leon Nozawa,野澤　零温
Keisuke Tsukui,
Isaac Kiese Thelin,
Mizuki  Kaburaki,
Shota Kawanishi,
Luiz Eduardo Fleuri Pacheco,
Hayate Take,
Sotaro Shimizu,清水　蒼太朗
Ichika Maeda,
Harumi Minamino,南野　遥海
Naoki Tsubaki,
Daizo Horikoshi,
Wadi Ibrahim Suzuki,
Yuto Kawabata,
Shota Kaneko,
Shota Tanaka,田中　翔太
Mohamad Sadiki Wade,
Mateus dos Santos Castro,
Abdul Hanan  Sani Brown,
Tsuyoshi Miyaichi,
Kensuke Fujiwara,
Takumi Shimada,島田　拓海
Koju Yoshio,
Sonosuke Sato,
Haruto Shirai,
Naoto Ando,
George Onaiwu,
Kiichi  Yamazaki,
Kusini Yengi,イェンギ　クシニ
Yosuke Ueno,上野　瑶介
Tae-won Kim,
Ken Tshizanga Matsumoto,
Ko Yanagisawa,
Raiki Tsubogo,坪郷　来紀
Kaito Konomi,
Ryota Ito,
Yuki Okada,
Soma Anzai,
Rafael Rogerio da Silva,
Rea Ishizuka,
Norman Campbell,
Yuki Kajiura,
Junya  Takahashi,高橋　潤哉
Diego Queiroz de Oliveira,
Kohei Isa,伊佐　耕平
Keigo  Nakayama,
Isa Sakamoto,坂本　一彩
Shinji Kagawa,
Hiroto Sese,
Seiya Nakano,中野　誠也
Naohiro  Sugiyama,
Thiago Santos Santana,
Kyosuke Tagawa,
Hayato Kanda,閑田　隼人
Takuya Yasui,
Daichi Matsuoka,
Kai Miki,
Sho Fukuda,
Masato Handai,
Yuta Mikado,
Kazune Kubota,
Cheikh Diamanka,
Yumeki Yokoyama,
Sora  Okita,
Akito Tanahashi,
Ren Komatsu,
Hidetoshi Takeda,
Daiju Sasaki,佐々木　大樹
Yota Komi,小見　洋太
Vitor Frezarin Bueno,
Tatsuya Hasegawa,
Mahiro Yunomae,
Ayumu  Kameda,
Kai Shibato,
Sota Koshimichi,
Kazunari Ohno,
Arata Watanabe,
Koya Yuruki,
Oura Ishihara,石原　央羅
Keita  Negishi,
Peter Utaka,
Himan Morimoto,森本　ヒマン
Gen  Matsumura,
Yuto Minakuchi,
Junki Hata,
Ryuji Kokubu,
Tsubasa Yoshihira,
Yan Matheus Santos Souza,
Yukihito Kajiya,
Takumi Kusumoto,
Min-kyu Park,
Jun Amano,
Ryosuke Hisadomi,
Tsubasa Umeki,梅木　翼
Taiga Kimoto,木許　太賀
Hiroki Higuchi,樋口　寛規
Matheus Sousa de Jesus,
Junya Kato,
Koya Fujii,
Kazushi Fujii,藤井　一志
Kazushi Mitsuhira,
Shuto Udo,
Aren Inoue,井上　愛簾
Cayman Togashi,
Mahiro Yoshinaga,
Cal Jennings,
Taiki Arai,
Musashi Suzuki,鈴木　武蔵
Ryo Shiohama,塩浜　遼
Rikuto Kubo,久保　吏久斗
Manato Shinada,
Issam Jebali,イッサム　ジェバリ
Toshiki Takahashi,
Valère Germain,
Shuhei Tokumoto,
Yuya Fukuda,
Jorn Pedersen,
Takumi Matsui,
Hiroto Yamada,山田　寛人
Keita Nakamura,
Douglas da Silva Vieira,
Jean Hebert de Freitas,
Ryo Saito,
Hayato Nakama,
Gun-Hee Kim,
Soshi Iwagishi,岩岸　宗志
Takumi  Yasuno,安野　匠
Koki  Morita,
Naoto Misawa,
Sota Watanabe,渡邉　颯太
Ryunosuke Sugawara,菅原　龍之助
Reiju Tsuruno,鶴野　怜樹
Keita Buwanika,ブワニカ　啓太
Yuya Yamagishi,山岸　祐也
Shinya Yajima,
Kazuya  Noyori,野寄　和哉
Yuki Kobayashi,
Yotaro Nakajima,
Manabu Saito,
Taro Sugimoto,
Yohei Ono,
Eiji Miyamoto,
Taira Maeda,
Kaito Seriu,
Rikiru Nakano,
Kosuke Fujioka,藤岡　浩介
Taiga Maekawa,
Kimiya Moriyama,
Wesley Tanque da Silva,
Ren Ikeda,
Ahmed Ahmedov,
Raisei Abe,
Kosuke  Sagawa,佐川　洸介
Rio Maeda,
Tatsuma Sakai,
Daisuke Suzuki,
Marcus Vinicius Ferreira Teixeira,
Tomoya Yokoyama,横山　智也
Dai Hirase,
Daiki Yamaguchi,
Toya Nakamura,
Weverton de Souza Santos,
Solomon Sakuragawa,櫻川　ソロモン
Ikki Kawasaki,
Haruto  Murakami,
Shinta  Hojo,
Jordy Croux,
Gustavo Klismahn Dimaraes Miranda,
Yusuke Goto,後藤　優介
Yuto Kunitake,
Motoki Hasegawa,
Hagumi Wada,
Kaiga Murakoshi,
Yoshiatsu Oiji,
Koki Sugimori,
Yuta Toyokawa,豊川　雄太
Sena Ishibashi,石橋　瀬凪
Kenshiro Suzuki,
Joji  Ikegami,
Ryosuke Shirai,
Masaya Tashiro,
Naoki Maeda,前田　直輝
Mizuki Arai,
Ryo Watanabe,渡邉　りょう
Hinata Konishi,
Hayato Otani,
Toshiki Toya,
Miguel Silveira dos Santos,
Ken Masui,
Rikuto Hirose,
Taiga Ishiura,
Kyota Funahashi,舩橋　京汰
Shun Nagasawa,長沢　駿
Koki Oshima,
Vinícius  Vasconcelos Araújo,
Itsuki Someno,
Shunsuke Yamamoto,山本　駿亮
Taiyo Nishino,西野　太陽
Eduardo Figueiredo da Cruz,
Ryota Iwabuchi,
Masaya Okugawa,
Akira Ibayashi,
Gakuto Kawamura,河村　慶人
Kota Nakayama,
Manato Furukawa,古川　真人
Charles Nduka,
Ryota  Ichihara,
Shota Tamura,田村　翔太
Kei Ikoma,
Kotaro Tokunaga,
Keita  Kobayashi,
Motoki Nagakura,
Nobuteru Nakagawa,
Kensuke Nagai,
Keito Kumashiro,神代　慶人
Mutsuki Kato,
Shunji Masuda,
Masayoshi Endo,
Gleyson Garcia de Oliveira,
Jean Patric Lima dos Reis,
Teppei Yachida,
Yusei  Toshida,
Daichi Kobayashi,
Shuto  Adachi,
Gabriel Henrique,
Takaya  Kimura,
Kojo Dadzie,
Keita Nakano,
Taisei Miyashiro,宮代　大聖
Kokoro  Kobayashi,小林　心
Se-Hun Oh,
Tomoya Osawa,大澤　朋也
Masato Yuzawa,
Tolgay Ali Arslan,
Yusuke Kikui,菊井　悠介
Keita Fujimura,
Akito Ueno,
Jun  Nishikawa,
Kaito  Satori,
Kohei Tanabe,
Rui Tone,
Yuya Takazawa,
Kota Yamada,
Min-Tae Kim,
Makoto Okazaki,
Alef Firmino dos Anjos,
Mao Hosoya,
Iori  Sakamoto,
Riki Matsuda,
Takumu Fujinuma,藤沼　拓夢
Takuya Shimamura,
Hayato Asakawa,浅川　隼人
Yoshiki Fujimoto,藤本　佳希
Naoki Yamada,
Tatsuya Hakozaki,
Gustavo Henric da Silva,
Daiki Watari,
Yuto  Ozeki,
Keijiro Ogawa,小川　慶治朗
Rin  Yamazaki,
Kosei  Yoshida,
Kota Mori,
Toshiya Tanaka,
Reo Osaki,
Yusuke Matsuo,
Hayato Manabe,真鍋　隼虎
Kaito Umeda,梅田　魁人
João Victor Andrade Caetano,
Takuma Arano,
Supachok Sarachat,
Ryota Nakamura,
Shinzo Koroki,興梠　慎三
Yuto Mori,
Yuya  Mineda,
Haruya Ide,
Masaya Shibayama,
Fabián Andrés González Lasso,
Shota Suzuki,鈴木　翔大
Yuhei Nishida,
Yutaka Michiwaki,道脇　豊
Tokumo Kawai,
Kyota Tokiwa,
Yusei Yashiki,屋敷　優成
Tomoya Miki,
Ryota  Ozawa,
Toki Yukutomo,
Hinata  Yamauchi,
Shunnosuke Matsuki,松木　駿之介
Rio Nitta,
Yamato Natsukawa,
Koji Okumura,
Jeong Min Bae,
Rinta  Miyoshi,
Kohei Hosoya,
Soichiro Fukaminato,
Hiroya Matsumoto,
Takumi Nagura,
Kaiyo Yanagimachi,
Yuji Ono,小野　裕二
Takumi  Fujiwara,藤原　拓海
Shu Kurata,
Akito Suzuki,
Jelani Reshaun Sumiyoshi,
Naoya Komazawa,駒沢　直哉
Naoki Inoue,
Shogo Asada,
Keigo Enomoto,
Renan Dos Santos Paixão,
Yuta  Inami,井波　勇太
Kotaro Arima,有馬　幸太郎
Kotaro Fujikawa,
Malcolm Tsuyoshi Moyo,
Takuma Nishimura,西村　拓真
Ryota Takada,
Lawrence  Izuchukwu,
Kotatsu Kumakura,
Kodai Dohi,
Marcos Guilherme de Almeida Santos Matos,
Kengo Nagai,
Ruon  Hisanaga,
Tsubasa Ando,安藤　翼
Daiya Tono,遠野　大弥
Shuma Kido,
Sora Kobori,小堀　空
Murilo De Souza Costa,
Asahi Yada,
Yuto Katori,
Mitchell  Duke,
Fuchi Honda,
Koya Kazama,
Kazuki Oiwa,
Taika Nakashima,中島　大嘉
Sera Watanabe,
Mário Sérgio Pereira Júnior,
Matheus Vieira Campos Peixoto,
Naoki   Suto,
Shuntaro Kawabe,河辺　駿太郎
Rafael Victor de Oliveira Furtado,
Yasufumi Nishimura,
Sotaro Yamamoto,
Jason Geria,
Kaito Miyake,
Kakeru  Aoto,
Gabriel Costa França,
Asahi Uenaka,植中　朝日
Tae-Hyeon Kim,
Browne Noah Kenshin,
Ismael Dunga,
Masamichi Hayashi,林　誠道
Kishin Gokita,
Kazuyoshi Miura,三浦　知良
Takahiro Sekine,
Jordi Sánchez Ribas,
Ryusei Nose,
Shinya Utsumoto,宇津元　伸弥
Shintaro Nago,
Kensei Ukita,
Soki Tamura,
Kanta Chiba,
Seung-won  Lee,
Taku  Inafuku,
Marcelo Ryan Silvestre dos Santos,
Anderson Patric Aguiar Oliveira,
Shuto Nagano,
Yuki Kusano,
Yusei  Uchida,内田　優晟
David Lawrence,
Ryo Germain,
Manato Kimoto,
Tatsuya Ito,伊藤　達哉
Daisuke Takagi,高木　大輔
Yuto Anzai,
Keisuke Ito,
Yoshiki Torikai,
Yuya Asano,
Kazuma Takai,高井　和馬
Shoma Doi,
Katsuhiro Nakayama,
Aoi Kudo,
Yukito  Murakami,
Kazumasa  Shimizu,清水　一雅
Keita Yamashita,
Yusuke Segawa,
Patrick Verhon Pertel Pereira,
Manato Hyakuda,
Akinari Kawazura,
Sota Nakamura,中村　草太
Yuma Mori,
Masaki Ikeda,
Hiryu Okuda,
Takumi Hasegawa,
Keisuke Tada,多田　圭佑
Temma Matsuda,
Shido Izuma,
Ken Tokura,
Mauricio Caprini Pinto,
Genya Sekino,
Takuya Shigehiro,
Junma Miyazaki,
Leonardo de Sousa Pereira,
Hiiro Komori,
Sora Mochizuki,望月　想空
Yū Kobayashi,小林　悠
Yamato  Wakatsuki,若月　大和
Shu Yoshizawa,
Masaki Nishimura,
Tsubasa Nakamura,
Shion Shinkawa,新川　志音
Hinata Mukai,
Sho Iwamoto,
Ekanit Panya,
Kosuke Hara,
Gustavo Santos Costa,
Tsukasa Morishima,
Eitaro Matsuda,
Yuma Suzuki,鈴木　優磨
Takuya Wada,
Ren  Sugimoto,
Koya Okuda,奥田　晃也
Ryo  Nishitani,
Kazuaki Saso,
Ota Yamamoto,
Ryosuke Tamura,
Shinya Nakano,
Kakeru Higuchi,
Kakeru Yamauchi,
Yuki Muto,武藤　雄樹
Hiromu Kamada,
Anderson Leonardo da Silva Chaves,
Lukian Araújo de Almeida,
Soichiro Mori,
Kazuya Onohara,
Yu Nakada,
Shu Morooka,師岡　柊生
Kiichi Yajima,矢島　輝一
Kaique Ferraz Mafaldo,
Carlos Antônio de Souza Júnior,
Shimon Teranuma,寺沼　星文
Kengo Fujii,
Motoki Ohara,
Ren Inoue,
Homare Tokuda,
Ryota Aoki,
Shunta Araki,荒木　駿太
Ren Nishimura,
Talles Brener de Paula,
Hayata Yamamoto,
Kanta  Tanaka,田中　幹大
Satoki Uejo,
Ryogo Yamasaki,
Patrick William Sá de Oliveira,
Kanta Jojo,
Daiki Yagishita,
Koki  Sakamoto,
Ryotaro Ishida,
Koya Handa,半田　航也
Makoto Mitsuta,満田　誠
Matheus Purcelo Blecha de Moraes,
Rodrigo Luiz Angelotti,
Juan Manuel Delgado Lloria,
Anri Narita,
Yuta Miyamoto,
Yutaro Oda,小田　裕太郎
Gaku Nawata,
Takuma Mizutani,
Deniz Hümmet,
Koya  Hayashida,
Kazuki Fukai,
Chihiro Kato,
Hiroya Sueki,
Seigo Kobayashi,
Ryoma Watanabe,
Haruto Nakano,
Yuki Horigome,
Tomoya Koyamatsu,
Kaito Mori,森　海渡
Ryo Tanada,棚田　遼
Takuya Fujiwara,藤原　拓海
Keito  Kawamura,河村　慶人
Vykintas Slivka,
Takumi Kato,
Ryoya Ogawa,
Shintaro Shimada,
Sang-Ho Na,ナ　サンホ
Hinata Kida,
Yuta Higuchi,
Ibuki Konno,
Motohiko Nakajima,中島　元彦
Atsuhito Ihara,庵原　篤人
Ado  Onaiwu,オナイウ　阿道
Rei Yonezawa,
Taishi  Tamashiro,
Taisei Kato,加藤　大晟
William Owie,
Koya Kitagawa,北川　航也
Hayao Kawabe,
Derek Freitas Ribeiro,
Asuma Ikari,
Kazunari Ichimi,
Arata  Kozakai,
Keigo Hashimoto,橋本　啓吾
Kai Matsuzaki,
Shuhei Kawasaki,
Shun Ayukawa,鮎川　峻
Yudai Kimura,木村　勇大
Shota Hino,
Taiyo Yamaguchi,山口　太陽
Leonardo da Silva Gomes,
Shuto Okaniwa,
Taishi Semba,
Seiichiro Kubo,久保　征一郎
Tsuyoshi Ogashiwa,小柏　剛
Takashi Usami,宇佐美　貴史
Yuki Yamamoto,
Marco Túlio Oliveira Lemos,
Lucas Fernandes,
Takuji Yonemoto,
Wellington Luis de Sousa,
Keita Endo,
Soki Hoshino,
Abdelrahman Boudah Saidi,
Takumi Miyayoshi,宮吉　拓実
Yasuto Wakizaka,
Kai  Sasaki,佐々木　快
Miyu Sato,
Pieros Sotiriou,ピエロス　ソティリウ
Shintaro Kokubu,
Shion Niwa,
Serigne Diop,
Beka Mikeltadze,ベカ　ミケルタゼ
Everton Galdino Moreira,
Naoki Sato,
Masaki Watai,
Ryuji Izumi,
Kiyoshiro Tsuboi,坪井　清志郎
Ryoya Yamashita,山下　諒也
Koshiro Sumi,
Daigo Furukawa,古川　大悟
Soma Kanda,
Taishiro Okazaki,岡﨑　大志郎
Michel Barbosa de Lima,
Yuki Kakita,
Shahab Zahedi,シャハブ　ザヘディ
Ryotaro Meshino,
Daigo Takahashi,
Akira Silvano Disaro,
Kosuke Fujieda,
Ryoma Ishii,石井　稜真
Goki  Yamada,
Keiya Shiihashi,
Kosuke Kinoshita,木下　康介
Ryota Sawazaki,
Yushi Yamaya,
Fuki Yamada,
Hiroto Asada,浅田　大翔
Yudai Shimamoto,
Ryunosuke Sato,
Takeshi Kanamori,
Koichi Murata,
Hiroto Iwabuchi,
Hideatsu Ozawa,
Daiki Sato,
Masaki Kaneura,
Atsuki Yamanaka,
Ryo Nemoto,
Yutani Azuri,
Taku Ikawa,
Kohei Matsumoto,松本　孝平
Matheus Leiria Dos Santos,
Yuki  Aida,
Nao Yamada,
Kenneth Otabor,
Ben Duncan,
Tatsuya Yamaguchi,
Teruki Hara,
Kotaro  Yamahara,
Ryoma Sano,
Taiyo Shimokawa,
Naoki Nomura,
Ryo Nagai,永井　龍
Toya Myogan,
Katsuya Nakano,
Ryuta Koike,
Seung-Jin Koh,
Aleksandar Čavrić,
Daichi Suzuki,鈴木　大馳
Neemias Benavenuto Barbosa,
Kevin Pytlik,
Anderson José Lopes de Souza,
Masato Nakayama,
Seiya Take,
Yuto Nagatomo,
Shota Fujio,藤尾　翔太
