SC_Name,FB_Name,Match_Score
Tae-won Kim,,51
Kaique Ferraz Mafaldo,,51
Lucas Vargas Cavalcanti,,51
David Lawrence,,52
William Owie,,53
Yuki Horigome,,54
Teppei Yachida,,54
Kevin Pytlik,,54
Lawrence  Izuchukwu,,54
Kotaro Fujikawa,,54
Kazune Kubota,,54
Kohei Tanabe,,55
Kenneth Otabor,,55
Aleksandar Čavrić,,56
Kengo Fujii,,56
Talles Brener de Paula,,56
Vykintas Slivka,,56
Yukihito Kajiya,,56
Wellington Luis de Sousa,,56
Kyosuke Tagawa,,56
Gabriel Costa França,,56
Kotaro  Yamahara,,56
Shuntaro Kawabe,,56
Hagumi Wada,,56
Zain Issaka,,56
Genya Sekino,,56
Wesley Tanque da Silva,,56
Lucas Marcos Meireles,,56
Mahiro Yunomae,,57
Hideatsu Ozawa,,57
Hayao Kawabe,,57
Nanasei Iino,,57
Kimiya Moriyama,,57
Hibiki Okazawa,,57
Norman Campbell,,57
Kento Haneda,,57
Takumi Hasegawa,,57
Renan Dos Santos Paixão,,57
Min-kyu Park,,57
Lucas Barcelos Damasceno,,57
Yuto Iwasaki,,57
Ko Yanagisawa,,58
Taisei Kuwata,,58
Kazushi Fujii,,58
Marcelo Ryan Silvestre dos Santos,,58
Tatsuya Hasegawa,,58
Rafael Elias da Silva,,58
Miguel Silveira dos Santos,,58
Taiga Maekawa,,58
Masashi Kokubun,,58
Tokumo Kawai,,58
Yohei  Okuyama,,58
Masaya Shibayama,,59
Takuya Fujiwara,,59
Takumu Fujinuma,,59
Takumi  Fujiwara,,59
Yusuke Matsuo,,60
Haruya Ide,,60
Ryota  Ozawa,,60
Supachok Sarachat,,60
Shinzo Koroki,,60
Hayato Manabe,,60
Shunnosuke Matsuki,,60
Yūya Ōsako,,60
Tatsuya Hakozaki,,60
Koya Fujii,,60
Jean Hebert de Freitas,,60
Gun-Hee Kim,,60
Reiju Tsuruno,,60
Kosuke Fujioka,,60
Ren Ikeda,,60
