Issue_Type,FB_Name,FB_Pos,FB_Minutes,SC_Name,SC_Position_Group,SC_Minutes,Mapping_Source,Top_Score,Gap_to_Second,Name_Score,Vector_Score,Minutes_Score,Candidate_Count,Notes,Match_Vector_Score
low_confidence_top_candidate,濱　託巳,DF,3247.0,Takumi Hama,Full Back,2873.88,auto_j3_outfield,92.36,10.28,83.33,97.13,88.51,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",87.36
low_confidence_top_candidate,髙橋　馨希,MF,2497.0,Hiroya Sueki,Midfield,2503.2,auto_j3_outfield,78.12,6.09,27.27,99.94,99.75,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",86.66
low_confidence_top_candidate,津久井　匠海,MF,2395.0,Kyota Mochii,Midfield,2650.89,auto_j3_outfield,80.19,2.96,41.38,97.59,90.35,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",85.84
low_confidence_top_candidate,泉　柊椰,MF,2897.0,Masato Kojima,Midfield,2668.86,auto_j3_outfield,78.9,3.14,35.71,98.03,92.12,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",84.29
low_confidence_top_candidate,小島　幹敏,MF,3420.0,Masato Kojima,Midfield,2668.86,auto_j3_outfield,85.64,7.0,68.97,94.51,78.04,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",84.29
low_confidence_top_candidate,持井　響太,MF,3071.0,Kyota Mochii,Midfield,2650.89,auto_j3_outfield,87.72,12.11,69.57,96.58,86.32,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",83.88
low_confidence_top_candidate,下口　稚葉,DF,2270.0,Rion Ichihara,Central Defender,2163.9,auto_j3_outfield,86.42,4.5,58.33,98.83,95.33,13,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",83.14
low_confidence_top_candidate,石川　俊輝,MF,2554.0,Toshiki Ishikawa,Midfield,1916.47,auto_j3_outfield,88.96,10.27,82.35,93.76,75.04,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",81.72
low_confidence_top_candidate,近藤　高虎,MF,2812.0,Hikaru Arai,Midfield,2246.53,auto_j3_outfield,79.22,5.48,46.15,94.97,79.89,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",80.0
low_confidence_top_candidate,村上　陽介,DF,2695.0,Yosuke Murakami,Central Defender,2259.57,auto_j3_outfield,95.32,10.6,96.77,95.96,83.84,13,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",79.56
low_confidence_top_candidate,大関　友翔,MF,2768.0,Yuto  Ozeki,Midfield,2306.19,auto_j3_outfield,85.36,15.99,64.0,95.83,83.32,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",77.78
low_confidence_top_candidate,阪野　豊史,FW,1240.0,Toyofumi Sakano,Center Forward,795.63,auto_j3_outfield,86.59,11.97,82.76,91.04,64.16,3,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",77.11
low_confidence_top_candidate,前澤　甲気,FW,3409.0,Kai  Sasaki,Center Forward,2725.36,auto_j3_outfield,68.69,11.81,51.85,71.43,79.95,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",76.09
low_confidence_top_candidate,青山　生,DF,1684.0,Ikiru Aoyama,Full Back,955.15,auto_j3_outfield,78.31,9.66,60.87,89.18,56.72,12,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",75.96
low_confidence_top_candidate,トーマス　モスキオン,MF,2293.0,Tomás Moschión,Midfield,1750.95,auto_j3_outfield,88.13,11.4,78.57,94.09,76.36,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",74.74
low_confidence_top_candidate,嫁阪　翔太,MF,1622.0,Kensei Nakashima,Midfield,4420.75,auto_j3_outfield,58.55,2.98,50.0,61.31,36.69,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",72.98
low_confidence_top_candidate,吉田　源太郎,MF,2944.0, Jimpei   Yoshida,Midfield,2865.05,auto_j3_outfield,81.45,21.49,60.0,87.92,97.32,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",71.71
low_confidence_top_candidate,浦上　仁騎,DF,2597.0,Niki Urakami,Central Defender,2159.51,auto_j3_outfield,86.13,0.94,66.67,95.79,83.15,13,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",71.26
low_confidence_top_candidate,深港　壮一郎,DF,2171.0,Soichiro Fukaminato,Central Defender,1692.12,auto_j3_outfield,87.43,4.79,75.0,94.49,77.94,11,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",71.16
low_confidence_top_candidate,池ヶ谷　颯斗,DF,2938.0,Hayato Ikegaya,Central Defender,1970.19,auto_j3_outfield,76.54,9.05,47.06,91.76,67.06,12,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",71.11
low_confidence_top_candidate,小暮　大器,MF,1502.0,Koki Matsubara,Midfield,995.07,auto_j3_outfield,73.78,4.2,38.46,91.56,66.25,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",70.8
low_confidence_top_candidate,東出　壮太,MF,1259.0,Hiroto Sese,Midfield,885.74,auto_j3_outfield,75.18,9.93,40.0,92.59,70.35,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",70.71
low_confidence_top_candidate,梶浦　勇輝,MF,3219.0,Keisuke Oyama,Midfield,3249.45,auto_j3_outfield,63.44,2.15,40.0,64.49,99.06,4,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",70.71
low_confidence_top_candidate,齊藤　隆成,DF,1793.0,Ryusei Saito,Central Defender,1101.99,auto_j3_outfield,79.6,8.92,61.54,90.37,61.46,12,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",69.29
low_confidence_top_candidate,世瀬　啓人,MF,1905.0,Hiroto Sese,Midfield,885.74,auto_j3_outfield,70.19,10.09,41.67,86.62,46.5,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",69.16
low_confidence_top_candidate,松岡　大智,MF,1583.0,Yosuke Kawai,Midfield,1236.77,auto_j3_outfield,78.3,3.42,44.44,94.53,78.13,7,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",68.97
low_confidence_top_candidate,桐　蒼太,MF,924.0,Koki Matsubara,Midfield,995.07,auto_j3_outfield,81.4,6.38,43.48,98.21,92.86,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",68.75
low_confidence_top_candidate,新垣　貴之,MF,1437.0,Yoshihiro Shoji,Midfield,1052.81,auto_j3_outfield,71.85,4.43,26.67,93.32,73.26,6,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",66.67
low_confidence_top_candidate,オニエ　オゴチュクウ,FW,1473.0,Promise Oniye Ugochukwu,Center Forward,639.44,auto_j3_outfield,75.84,2.39,62.86,85.85,43.41,5,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",66.0
low_confidence_top_candidate,大城　蛍,DF,1790.0,Kei Oshiro,Central Defender,786.72,auto_j3_outfield,75.37,3.98,60.87,85.99,43.95,10,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",65.47
low_confidence_top_candidate,堂鼻　起暉,DF,1677.0,Kazuki Dohana,Central Defender,977.5,auto_j3_outfield,82.63,6.06,74.07,89.57,58.29,9,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",65.29
low_confidence_top_candidate,マリソン,FW,1209.0,Marlyson Conceição Oliveira,Center Forward,780.5600000000001,auto_j3_outfield,72.44,5.21,35.29,91.14,64.56,8,"自動採用条件未達: score>=82.0, gap>=12.0, name>=70.0",63.74
