kmeans_results_refinedのコピー
FB_Name,SC_Name,選手名,Cluster_Refined
浅川　隼人,Hayato Asakawa,浅川　隼人,3
髙木　彰人,Akito Takagi,髙木　彰人,0
横山　智也,Tomoya Yokoyama,横山　智也,1
吉田　篤志,Atsushi Yoshida,吉田　篤志,3
宮吉　拓実,Takumi Miyayoshi,宮吉　拓実,0
山田　新,Shin Yamada,山田　新,3
中野　誠也,Seiya Nakano,中野　誠也,0
島田　拓海,Takumi Shimada,島田　拓海,3
山田　寛人,Hiroto Yamada,山田　寛人,0
肥田野　蓮治,Renji Hidano,肥田野　蓮治,3
渡邊　啓吾,Keigo Watanabe,渡邊　啓吾,1
矢島　輝一,Kiichi Yajima,矢島　輝一,2
高木　大輔,Daisuke Takagi,高木　大輔,0
小堀　空,Sora Kobori,小堀　空,2
鈴木　大馳,Daichi Suzuki,鈴木　大馳,3
横山　歩夢,Ayumu Yokoyama,横山　歩夢,1
長沢　駿,Shun Nagasawa,長沢　駿,2
梅田　魁人,Kaito Umeda,梅田　魁人,0
古川　大悟,Daigo Furukawa,古川　大悟,3
駒沢　直哉,Naoya Komazawa,駒沢　直哉,3
仲川　輝人,Teruhito Nakagawa,仲川　輝人,0
山本　駿亮,Shunsuke Yamamoto,山本　駿亮,2
藤本　佳希,Yoshiki Fujimoto,藤本　佳希,0
ブワニカ　啓太,Keita Buwanika,ブワニカ　啓太,2
植中　朝日,Asahi Uenaka,植中　朝日,2
多田　圭佑,Keisuke Tada,多田　圭佑,0
吉田　伊吹,Ibuki Yoshida,吉田　伊吹,2
石川　大地,Daichi Ishikawa,石川　大地,2
山見　大登,Hiroto Yamami,山見　大登,0
原　大智,Taichi Hara,原　大智,2
宮代　大聖,Taisei Miyashiro,宮代　大聖,2
堀金　峻明,Shunmei Horikane,堀金　峻明,3
川又　堅碁,Kengo Kawamata,川又　堅碁,3
前田　直輝,Naoki Maeda,前田　直輝,1
鮎川　峻,Shun Ayukawa,鮎川　峻,0
新川　志音,Shion Shinkawa,新川　志音,0
宇佐美　貴史,Takashi Usami,宇佐美　貴史,2
中島　元彦,Motohiko Nakajima,中島　元彦,2
谷口　海斗,Kaito Taniguchi,谷口　海斗,2
鈴木　武蔵,Musashi Suzuki,鈴木　武蔵,0
梅木　翼,Tsubasa Umeki,梅木　翼,2
