FB_Name,SC_Name,選手名,出場時間,シュート,PA内シュート,PA内ゴール,PA外ゴール,PA進入,ボールゲイン,パス,ラストパス,ドリブル,PA内シュート枠内率(%),PA内シュート決定率(%),タックル奪取率(%),空中戦勝率(%),パス成功率(%),シュート_per90,PA内シュート_per90,PA内ゴール_per90,PA外ゴール_per90,PA進入_per90,ボールゲイン_per90,パス_per90,ラストパス_per90,ドリブル_per90,Player,Minutes,Minutes TIP,Minutes OTIP,M/min OTIP,M/min,PSV-99,Sprint Count TIP,Sprint Distance TIP,Explosive Acceleration to Sprint Count TIP,Explosive Acceleration to HSR Count TIP,High Acceleration Count TIP,Medium Acceleration Count TIP,High Deceleration Count TIP,Medium Deceleration Count TIP,Change of Direction Count TIP,HI Count TIP,HSR Distance TIP,HSR Count TIP,Running Distance TIP,Distance TIP,HI Distance TIP,Distance OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,High Acceleration Count OTIP,HI Distance OTIP,High Acceleration Count,Explosive Acceleration to HSR Count,Explosive Acceleration to Sprint Count,Change of Direction Count,Sprint Count TIP_per90,Sprint Distance TIP_per90,Explosive Acceleration to Sprint Count TIP_per90,Explosive Acceleration to HSR Count TIP_per90,High Acceleration Count TIP_per90,Medium Acceleration Count TIP_per90,High Deceleration Count TIP_per90,Medium Deceleration Count TIP_per90,Change of Direction Count TIP_per90,HI Count TIP_per90,HSR Distance TIP_per90,HSR Count TIP_per90,Running Distance TIP_per90,Distance TIP_per90,HI Distance TIP_per90,Distance OTIP_per90,Running Distance OTIP_per90,HSR Distance OTIP_per90,HSR Count OTIP_per90,Sprint Distance OTIP_per90,Sprint Count OTIP_per90,High Acceleration Count OTIP_per90,HI Distance OTIP_per90,High Acceleration Count_per90,Explosive Acceleration to HSR Count_per90,Explosive Acceleration to Sprint Count_per90,Change of Direction Count_per90,Cluster
浅川　隼人,Hayato Asakawa,浅川　隼人,3839,101,91,20,0,17,79,727,26,16,36.15909090909091,15.654545454545456,23.484848484848484,34.374242424242425,61.018181818181816,2.3678041156551184,2.1333680646001563,0.4688721021099244,0.0,0.3985412867934358,1.852044803334202,17.043500911695755,0.6095337327429018,0.3750976816879395,Hayato Asakawa,1752.04,481.98,444.97,144.38,122.1509090909091,31.3,94.0,1781.0,7.0,30.0,51.0,808.0,106.0,566.0,500.0,645.0,5843.0,551.0,13704.0,71540.0,7624.0,69794.0,14210.0,5722.0,535.0,1435.0,83.0,46.0,7157.0,188.0,128.0,22.0,1081.0,17.552595543383543,332.56566662517116,1.3071081787626042,5.601892194696875,9.523216730984688,150.87762977716918,19.79335242126229,105.68903273994772,93.36486991161458,120.44068218598282,1091.061869787128,102.88808664259928,2558.9443545375325,13358.645586953817,1423.6275364122992,14116.592129806506,2874.1263455963326,1157.336449648291,108.2095422163292,290.24428613164935,16.78764860552397,9.303998022338586,1447.5807357799404,9.657313759959818,6.575192347206684,1.130111184676149,55.52955411976895,3
髙木　彰人,Akito Takagi,髙木　彰人,2399,51,43,2,2,27,50,526,24,33,25.298214285714288,2.6785714285714284,19.642857142857142,26.567857142857143,65.30178571428571,1.913297207169654,1.6131721550646103,0.0750312630262609,0.0750312630262609,1.0129220508545227,1.8757815756565237,19.73322217590663,0.9003751563151313,1.2380158399333054,Akito Takagi,1623.39,384.74,456.78,147.0065625,116.26625,30.9,103.0,1854.0,13.0,29.0,49.0,731.0,93.0,499.0,402.0,671.0,6050.0,568.0,12535.0,61901.0,7904.0,67029.0,11256.0,5136.0,485.0,1213.0,62.0,53.0,6349.0,163.0,104.0,28.0,840.0,24.094193481312058,433.695482663617,3.04101471123356,6.783802048136403,11.46228621926496,170.99859645474865,21.754951395747774,116.72818006965744,94.03753183968394,156.963143941363,1415.2414617663876,132.86895046005094,2932.2399542548214,14480.142433851432,1848.9369444300048,13206.817286220938,2217.7853671351636,1011.9532378825692,95.56022592933142,238.9990805201629,12.215946407460924,10.442663864442402,1250.9523184027323,9.036645538040766,5.7657124905290775,1.5523072089885976,46.569216269657936,3
横山　智也,Tomoya Yokoyama,横山　智也,1622,31,23,2,1,26,54,691,20,41,13.24871794871795,5.128205128205129,29.91282051282051,36.96410256410256,69.4025641025641,1.720098643649815,1.276202219482121,0.1109741060419235,0.0554870530209617,1.442663378545006,2.996300863131936,38.34155363748459,1.1097410604192357,2.274969173859433,Tomoya Yokoyama,1202.56,308.59,308.1,157.70074074074074,120.74444444444444,31.3,78.0,1325.0,6.0,19.0,31.0,549.0,72.0,378.0,265.0,478.0,4525.0,400.0,10112.0,47649.0,5850.0,49691.0,11809.0,4624.0,359.0,742.0,44.0,31.0,5366.0,99.0,64.0,16.0,632.0,22.748630869438415,386.43507566674225,1.7498946822644934,5.541333160504229,9.041122525033217,160.11536342720115,20.99873618717392,110.2433649826631,77.28701513334846,139.40827635373796,1319.7122395411388,116.65964548429956,2949.155837843093,13896.788619203477,1706.147315207881,14515.384615384612,3449.561830574489,1350.730282375852,104.86854917234665,216.74780915287243,12.852969814995127,9.05550146056475,1567.4780915287242,7.409193720063865,4.789781798829165,1.1974454497072913,47.299095263438,3
吉田　篤志,Atsushi Yoshida,吉田　篤志,1162,59,49,5,1,30,39,346,10,78,26.763333333333332,4.843333333333334,22.223333333333336,36.156666666666666,58.31333333333334,4.569707401032702,3.795180722891566,0.3872633390705679,0.0774526678141136,2.323580034423408,3.0206540447504304,26.79862306368331,0.7745266781411358,6.041308089500861,Atsushi Yoshida,1539.45,404.91,375.23,141.24882352941177,113.30235294117648,31.9,124.0,2356.0,17.0,43.0,67.0,740.0,91.0,501.0,408.0,727.0,6353.0,603.0,11973.0,59578.0,8709.0,54494.0,10415.0,4301.0,434.0,1323.0,67.0,39.0,5624.0,180.0,112.0,42.0,817.0,27.561680373416312,523.67192709491,3.7786174705490105,9.557679484329851,14.892198266281394,164.48099577683928,20.226717048232945,111.35807957323848,90.68681929317626,161.59146476994886,1412.0915759057568,134.02978439653256,2661.2580573460764,13242.49833296288,1935.7635030006668,13070.543400047967,2498.0678517176134,1031.6072808677343,104.09615435866002,317.3253737707539,16.070143645230925,9.354262718865762,1348.9326546384882,10.523238819058754,6.547793042969892,2.4554223911137094,47.76381175095001,2
宮吉　拓実,Takumi Miyayoshi,宮吉　拓実,387,13,9,1,0,3,10,96,3,3,4.545454545454546,4.545454545454546,16.668181818181818,18.181818181818183,49.22272727272728,3.0232558139534884,2.0930232558139537,0.2325581395348837,0.0,0.6976744186046512,2.325581395348837,22.32558139534884,0.6976744186046512,0.6976744186046512,Takumi Miyayoshi,236.99,66.01,58.09,136.26384615384617,125.3876923076923,30.2,17.0,416.0,5.0,7.0,13.0,103.0,16.0,84.0,59.0,100.0,979.0,83.0,1921.0,9741.0,1395.0,9515.0,2137.0,1160.0,105.0,437.0,19.0,6.0,1597.0,33.0,23.0,11.0,141.0,23.17830631722466,567.1867898803212,6.817148916830783,9.544008483563095,17.724587183760036,140.43326768671412,21.814876533858502,114.52810180275712,80.44235721860323,136.34297833661566,1334.7977579154672,113.164672019391,2619.1486138463865,13281.169519769732,1901.9845477957883,14741.779996557068,3310.8968841452916,1797.2112239628163,162.67860216904802,677.0528490273713,29.437080392494405,9.2959201239456,2474.2640729901877,12.532174353348244,8.734545761424531,4.177391451116081,53.546563146124306,0
山田　新,Shin Yamada,山田　新,3338,117,101,17,2,47,47,623,35,64,25.02857142857143,10.633333333333333,27.77777777777778,23.993650793650794,67.39682539682539,3.1545835829838227,2.723187537447574,0.4583582983822648,0.0539245056920311,1.2672258837627322,1.2672258837627322,16.797483523067704,0.9436788496105452,1.725584182144997,Shin Yamada,1290.9,393.34,319.31,136.28347826086957,107.36,33.1,110.0,2033.0,18.0,42.0,63.0,651.0,76.0,440.0,341.0,558.0,3860.0,448.0,7429.0,50911.0,5893.0,44307.0,6761.0,3335.0,380.0,1425.0,77.0,32.0,4760.0,148.0,110.0,32.0,647.0,25.169064931102863,465.1700818630193,4.118574261453196,9.610006610057455,14.415009915086186,148.9551024558906,17.38953577058016,100.67625972441144,78.02410128641888,127.67580210504909,883.2053694005187,102.50673717394622,1699.8271215742109,11648.929679157982,1348.375451263538,12488.271585606464,1905.6402868685605,939.9956155460212,107.10594719864709,401.6473019949265,21.70304719551533,9.019448185149228,1341.6429175409476,10.31838252382059,7.669068092028817,2.2310016267720196,45.108064141296765,2
中野　誠也,Seiya Nakano,中野　誠也,3512,70,52,6,0,20,86,784,15,25,16.95964912280702,7.017543859649122,34.35614035087719,27.56315789473684,68.2578947368421,1.7938496583143508,1.3325740318906607,0.15375854214123,0.0,0.5125284738041003,2.203872437357631,20.091116173120728,0.3843963553530752,0.6406605922551253,Seiya Nakano,3028.62,650.78,833.59,156.04565217391306,116.92239130434784,30.6,190.0,3520.0,27.0,96.0,132.0,1314.0,157.0,889.0,700.0,1201.0,10763.0,1011.0,20997.0,100089.0,14283.0,130229.0,28460.0,10451.0,980.0,1997.0,106.0,131.0,12448.0,440.0,294.0,61.0,1504.0,26.276160914594797,486.8004548388088,3.733980761547681,13.276376041058423,18.25501705645533,181.72039706198717,21.71240665048096,122.94477396355144,96.80690863271766,166.0929960969913,1488.4753680199146,139.81683518239652,2903.792372230247,13841.866683057257,1975.2758228587231,14060.401396369918,3072.7335980517996,1128.3604649767872,105.80741131731426,215.60959224558837,11.444475101668688,14.143643757722622,1343.9700572223755,13.075262000515089,8.736652336707808,1.812706777344137,44.6936228381243,0
島田　拓海,Takumi Shimada,島田　拓海,4336,120,100,17,1,37,50,804,37,54,26.905194805194803,10.974025974025974,13.636363636363637,44.38961038961039,53.33636363636363,2.4907749077490773,2.0756457564575648,0.3528597785977859,0.0207564575645756,0.7679889298892989,1.0378228782287824,16.68819188191882,0.7679889298892989,1.1208487084870848,Takumi Shimada,3630.18,789.15,865.09,140.95791666666665,103.13666666666668,33.2,223.0,4212.0,31.0,85.0,117.0,1423.0,188.0,941.0,712.0,1289.0,10502.0,1066.0,21076.0,111682.0,14714.0,121143.0,22352.0,8583.0,852.0,2540.0,150.0,110.0,11123.0,411.0,275.0,78.0,1521.0,25.43242729519103,480.3649496293481,3.5354495343090666,9.69397452955712,13.343470823037444,162.2885383007033,21.440790724196923,107.31800038015588,81.20129252993728,147.00627257175444,1197.719064816575,121.5738452765634,2403.6494962934803,12736.970157764685,1678.0840144459228,12603.162676715718,2325.3996693985596,892.9359950987758,88.63817637471246,264.2499624316545,15.60531274202684,11.443896010819683,1157.1859575304304,10.189577376328446,6.817843743285457,1.9337884071864209,37.7088739401352,2
山田　寛人,Hiroto Yamada,山田　寛人,2219,55,48,5,2,18,32,550,17,31,22.89782608695652,6.413043478260869,15.943478260869565,34.393478260869564,65.50869565217391,2.2307345651194233,1.946822893195133,0.202794051374493,0.0811176205497972,0.7300585849481748,1.2978819287967551,22.307345651194233,0.6894997746732763,1.2573231185218567,Hiroto Yamada,2169.74,595.63,514.34,154.2335294117647,112.91176470588236,33.1,107.0,2378.0,18.0,52.0,78.0,1080.0,110.0,774.0,586.0,760.0,7215.0,653.0,17600.0,86591.0,9593.0,78511.0,15540.0,5596.0,511.0,1003.0,61.0,56.0,6599.0,221.0,131.0,41.0,1049.0,16.167755150009235,359.3170256702987,2.7198092775716467,7.857226801873647,11.78584020281047,163.18855665429882,16.621056696271175,116.9517989355808,88.54490203649917,114.83639171969176,1090.1902187599685,98.66863656968252,2659.369071403388,13083.944730789248,1449.507244430267,13737.974880429289,2719.21297196407,979.1966403546292,89.41556169071042,175.5064743165999,10.673873313372477,9.79896566473539,1154.703114671229,9.166996967378582,5.4338307815682985,1.700664595758017,43.512125876833174,3
肥田野　蓮治,Renji Hidano,肥田野　蓮治,396,10,8,3,1,5,7,73,0,9,33.333333333333336,33.333333333333336,25.0,29.166666666666668,73.23333333333333,2.2727272727272725,1.8181818181818183,0.6818181818181819,0.2272727272727273,1.1363636363636362,1.5909090909090908,16.59090909090909,0.0,2.0454545454545454,Renji Hidano,748.8100000000001,204.79,180.88,155.76363636363638,113.88545454545456,31.2,73.0,1567.0,11.0,23.0,29.0,346.0,35.0,249.0,144.0,349.0,2649.0,276.0,5364.0,29669.0,4216.0,28191.0,5727.0,2365.0,257.0,1039.0,58.0,24.0,3404.0,88.0,63.0,30.0,364.0,32.0816446115533,688.6566726890962,4.8342204209189905,10.10791542555789,12.74476292787734,152.05820596708824,15.381610430196789,109.42917134625716,63.28434005566678,153.37662971824795,1164.1681722740368,121.29498510669468,2357.341667073588,13038.771424385955,1852.8248449631333,14026.923927465725,2849.568774878373,1176.7470145953118,127.87483414418398,516.9725785050863,28.858911985846973,11.941618752764263,1693.719593100398,10.57678182716577,7.572014262630039,3.605721077442876,43.74941573964023,0
