順位,得点特化(C3) 選手,得点スコア,守備職人(C1) 選手,守備スコア,起点特化(C2) 選手,起点スコア,万能型(C0) 選手,総合スコア
1,肥田野　蓮治,5.2,石橋　瀬凪,6.47,杉本　健勇,3.58,垣田　裕暉,5.18
2,ルーカス　バルセロス,4.43,渡邊　啓吾,6.41,吉田　伊吹,2.88,佐藤　大樹,4.89
3,エジガル　ジュニオ,4.11,久保　吏久斗,5.97,キム　ゴンヒ,2.69,福田　翔生,3.79
4,ラファエル　エリアス,3.79,上野　輝人,5.64,鈴木　優磨,2.62,オリオラ　サンデー,3.28
5,ドウグラス　タンキ,3.73,ノーマン　キャンベル,5.38,ドウグラス　ヴィエイラ,2.62,永井　謙佑,2.67
6,橋本　啓吾,3.66,木本　真翔,5.24,原　大智,2.34,多田　圭佑,2.55
7,小森　飛絢,3.62,マテウス　モラエス,4.62,ブワニカ　啓太,2.23,佐藤　凌我,2.2
8,フアンマ　デルガド,3.35,末永　透瑛,4.32,杉浦　恭平,2.18,髙橋　利樹,2.12
9,大橋　祐紀,3.23,鶴野　怜樹,4.2,ピーダーセン　世穏,2.16,ンドカ　チャールス,1.91
10,レオ　セアラ,3.11,西村　真祈,4.06,染野　唯月,2.11,南野　遥海,1.86
11,エリソン,3.01,曽田　一騎,3.92,ワッド　モハメッドサディキ,2.1,宮吉　拓実,1.84
12,木下　康介,2.99,北條　真汰,3.81,松本　ケン　チザンガ,2.06,ジェアン　パトリッキ,1.59
13,堀金　峻明,2.84,佐藤　恵允,3.65,山﨑　凌吾,2.02,伊佐　耕平,0.86
14,望月　想空,2.82,大谷　駿斗,3.63,粟飯原　尚平,2.01,ディサロ　燦シルヴァーノ,0.71
15,ピーター　ウタカ,2.81,小見　洋太,3.46,松本　孝平,1.99,庵原　篤人,0.64
16,谷村　海那,2.78,西丸　道人,3.44,アンジェロッティ,1.94,内藤　大和,0.62
17,平岡　将豪,2.7,半代　将都,3.41,小堀　空,1.85,梅田　魁人,0.55
18,ピエロス　ソティリウ,2.7,石井　久継,3.27,ジョアン　パウロ,1.78,師岡　柊生,0.5
19,川又　堅碁,2.57,杉山　伶央,3.11,都倉　賢,1.76,呉屋　大翔,0.5
20,マルクス　ヴィニシウス,2.57,小柏　剛,2.71,富山　貴光,1.69,田川　亨介,0.48
21,イサーク　キーセ　テリン,2.56,加々美　登生,2.66,桑山　侃士,1.65,ルキアン,0.07
22,吉田　篤志,2.53,吉平　翼,2.63,マテウス　ペイショット,1.64,ベン　ダンカン,0.04
23,マルセロ　ヒアン,2.48,西野　太陽,2.6,長沢　駿,1.57,矢村　健,-0.01
24,ディーン　デイビッド,2.38,荒木　駿太,2.59,ヴァレール　ジェルマン,1.49,北川　航也,-0.14
25,中島　大嘉,2.14,山下　諒也,2.49,宇佐美　貴史,1.49,熊田　直紀,-0.19
26,浅川　隼人,2.12,西谷　和希,2.48,矢野　貴章,1.46,高井　和馬,-0.19
27,碓井　聖生,2.07,川﨑　修平,2.46,矢島　輝一,1.44,渡邉　新太,-0.2
28,山田　新,2.02,エリキ,2.09,山本　駿亮,1.38,高木　大輔,-0.45
29,細谷　真大,1.93,佐々木　大樹,2.05,加藤　陸次樹,1.38,上野　瑶介,-0.5
30,ラファエル　フルタード,1.86,満田　誠,1.97,梅木　翼,1.38,山谷　侑士,-0.69
31,太田　龍之介,1.66,中村　草太,1.89,カプリーニ,1.29,棚田　遼,-0.72
32,白井　陽斗,1.64,宮崎　純真,1.82,中島　元彦,1.29,ベ　ジョンミン,-0.72
33,長倉　幹樹,1.61,畑　潤基,1.77,トニー　アンデルソン,1.23,山見　大登,-0.77
34,櫻川　ソロモン,1.6,ムリロ　コスタ,1.72,吉澤　柊,1.12,坪郷　来紀,-0.79
35,パトリック,1.54,棚橋　尭士,1.58,進　昂平,0.98,渡邉　りょう,-0.84
36,永井　龍,1.51,食野　亮太郎,1.57,小野　裕二,0.92,チアゴ　サンタナ,-0.89
37,坪井　清志郎,1.51,チアゴ　アンドラーデ,1.51,宮代　大聖,0.9,二田　理央,-0.99
38,日野　友貴,1.47,大澤　朋也,1.39,ネーミアス,0.89,藤岡　浩介,-0.99
39,武　星弥,1.35,奥田　晃也,1.21,谷口　海斗,0.87,山田　寛人,-1.02
40,アダイウトン,1.23,太田　修介,1.09,久保　征一郎,0.83,半田　航也,-1.14
41,髙尾　流星,1.21,横山　智也,1.02,酒井　達磨,0.72,神代　慶人,-1.17
42,鈴木　大馳,1.17,興梠　慎三,0.92,鈴木　翔大,0.68,藤本　佳希,-1.24
43,小松　蓮,1.08,横山　歩夢,0.86,塩浜　遼,0.64,ラザル　ロマニッチ,-1.25
