SC_Name,FB_Name,Match_Score,Status,SC_Teams,FB_Teams,Shared_Teams,Tie_On_Best_Score
Akito Takagi,髙木　彰人,100,確定,相模原,相模原,相模原,False
Amadou Bakayoko,アマドゥ　バカヨコ,100,確定,札幌,札幌,札幌,False
Asahi Uenaka,植中　朝日,100,確定,横浜FM,横浜FM,横浜FM,False
Atsushi Yoshida,吉田　篤志,100,確定,栃木C,栃木C,栃木C,False
Ayumu  Furuya,古屋　歩夢,100,確定,仙台,仙台,仙台,False
Ayumu Yokoyama,横山　歩夢,100,確定,鳥栖,鳥栖,鳥栖,False
Daichi Ishikawa,石川　大地,100,確定,千葉,千葉 / 熊本,千葉,False
Daichi Suzuki,鈴木　大馳,100,確定,鳥栖,鳥栖,鳥栖,False
Daigo Furukawa,古川　大悟,100,確定,山口,FC大阪 / 山口,山口,False
Daisuke Takagi,高木　大輔,100,確定,琉球,琉球,琉球,False
Hayato Asakawa,浅川　隼人,100,確定,松本 / 琉球,松本 / 琉球,松本 / 琉球,False
Hayato Kanda,閑田　隼人,100,確定,藤枝,藤枝,藤枝,False
Himan Morimoto,森本　ヒマン,100,確定,滋賀,滋賀,滋賀,False
Hiroto Asada,浅田　大翔,100,確定,横浜FM,横浜FM,横浜FM,False
Hiroto Yamada,山田　寛人,100,確定,湘南 / 鳥栖,C大阪 / 湘南 / 鳥栖,湘南 / 鳥栖,False
Hiroto Yamami,山見　大登,100,確定,東京V,東京V,東京V,False
Ibuki Yoshida,吉田　伊吹,100,確定,秋田 / 鳥取,秋田 / 鳥取,秋田 / 鳥取,False
Junya  Takahashi,高橋　潤哉,100,確定,山形,山形,山形,False
Kagetora Hoshi,星　景虎,100,確定,鳥取,鳥取,鳥取,False
Kai  Sasaki,佐々木　快,100,確定,八戸 / 岐阜 / 相模原,八戸 / 岐阜 / 相模原,八戸 / 岐阜 / 相模原,False
Kaito Taniguchi,谷口　海斗,100,確定,新潟,新潟,新潟,False
Kaito Umeda,梅田　魁人,100,確定,水戸 / 秋田,水戸 / 秋田,水戸 / 秋田,False
Kazuma Takai,高井　和馬,100,確定,相模原,松本 / 相模原,相模原,False
Kazumasa  Shimizu,清水　一雅,100,確定,福島,福島,福島,False
Kazushi Fujii,藤井　一志,100,確定,大宮,大宮 / 甲府,大宮,False
Kazuya  Noyori,野寄　和哉,100,確定,山口,山口,山口,False
Kazuyoshi Miura,三浦　知良,100,確定,福島,福島,福島,False
Keigo Hashimoto,橋本　啓吾,100,確定,宮崎,宮崎,宮崎,False
Keigo Watanabe,渡邊　啓吾,100,確定,湘南,湘南,湘南,False
Keisuke Tada,多田　圭佑,100,確定,水戸,水戸,水戸,False
Keisuke Tada,多田　圭佑,100,確定,水戸,水戸,水戸,False
Keita Buwanika,ブワニカ　啓太,100,確定,いわき / 金沢,いわき / 金沢,いわき / 金沢,False
Keito  Kawamura,河村　慶人,100,確定,鹿児島,東京V / 秋田 / 鹿児島,鹿児島,False
Kengo Kawamata,川又　堅碁,100,確定,沼津,沼津,沼津,False
Kiichi Yajima,矢島　輝一,100,確定,福島,福島,福島,False
Kokoro  Kobayashi,小林　心,100,確定,仙台 / 高知,仙台 / 高知,仙台 / 高知,False
Matsumura Takumi,松村　拓実,100,確定,千葉,千葉,千葉,False
Motohiko Nakajima,中島　元彦,100,確定,C大阪,C大阪 / 仙台,C大阪,False
Musashi Suzuki,鈴木　武蔵,100,確定,札幌 / 栃木C / 横浜FC,札幌 / 栃木C / 横浜FC,札幌 / 栃木C / 横浜FC,False
Naoki Maeda,前田　直輝,100,確定,広島,広島 / 浦和,広島,False
Naoya Komazawa,駒沢　直哉,100,確定,北九州 / 横浜FC,北九州 / 横浜FC,北九州 / 横浜FC,False
Oura Ishihara,石原　央羅,100,確定,熊本,熊本,熊本,False
Renji Hidano,肥田野　蓮治,100,確定,浦和,浦和,浦和,False
Seiya Nakano,中野　誠也,100,確定,八戸,八戸 / 大宮 / 沼津,八戸,False
Shin Yamada,山田　新,100,確定,川崎F,川崎F,川崎F,False
Shion Shinkawa,新川　志音,100,確定,鳥栖,鳥栖,鳥栖,False
Shun Ayukawa,鮎川　峻,100,確定,大分,大分,大分,False
