クラスター,クラスター内順位,選手名,所属チーム,リーグ,評価スコア
万能型(C0),1,垣田　裕暉,柏,J1,5.18
万能型(C0),2,佐藤　大樹,秋田,J2/J3,4.89
万能型(C0),3,福田　翔生,湘南,J1,3.79
万能型(C0),4,オリオラ　サンデー,大宮,J2/J3,3.28
万能型(C0),5,永井　謙佑,名古屋,J1,2.67
万能型(C0),6,多田　圭佑,水戸,J1,2.55
万能型(C0),7,佐藤　凌我,磐田,J2/J3,2.2
万能型(C0),8,髙橋　利樹,清水,J1,2.12
万能型(C0),9,ンドカ　チャールス,鹿児島,J3,1.91
万能型(C0),10,南野　遥海,Ｇ大阪,J1,1.86
万能型(C0),11,宮吉　拓実,山口,J2,1.84
万能型(C0),12,ジェアン　パトリッキ,神戸,J1,1.59
万能型(C0),13,伊佐　耕平,大分,J2/J3,0.86
万能型(C0),14,ディサロ　燦シルヴァーノ,山形,J2/J3,0.71
万能型(C0),15,庵原　篤人,琉球,J3,0.64
万能型(C0),16,内藤　大和,甲府,J2/J3,0.62
万能型(C0),17,梅田　魁人,秋田,J2/J3,0.55
万能型(C0),18,師岡　柊生,鹿島,J1,0.5
万能型(C0),19,呉屋　大翔,千葉,J1,0.5
万能型(C0),20,田川　亨介,鹿島,J1,0.48
万能型(C0),21,ルキアン,横浜FC,J2/J3,0.07
万能型(C0),22,ベン　ダンカン,愛媛,J2,0.04
万能型(C0),23,矢村　健,藤枝,J2/J3,-0.01
万能型(C0),24,北川　航也,清水,J1,-0.14
万能型(C0),25,高井　和馬,相模原,J3,-0.19
万能型(C0),26,熊田　直紀,いわき,J2,-0.19
万能型(C0),27,渡邉　新太,水戸,J1,-0.2
万能型(C0),28,高木　大輔,琉球,J2/J3,-0.45
万能型(C0),29,上野　瑶介,琉球,J2/J3,-0.5
万能型(C0),30,山谷　侑士,岐阜,J2/J3,-0.69
万能型(C0),31,ベ　ジョンミン,熊本,J2/J3,-0.72
万能型(C0),32,棚田　遼,鳥取,J3,-0.72
万能型(C0),33,山見　大登,東京Ｖ,J1,-0.77
万能型(C0),34,坪郷　来紀,北九州,J2/J3,-0.79
万能型(C0),35,渡邉　りょう,磐田,J2/J3,-0.84
万能型(C0),36,チアゴ　サンタナ,長崎,J1,-0.89
万能型(C0),37,藤岡　浩介,山口,J2/J3,-0.99
万能型(C0),38,二田　理央,浦和,J1,-0.99
万能型(C0),39,山田　寛人,湘南,J2/J3,-1.02
万能型(C0),40,半田　航也,鳥取,J3,-1.14
万能型(C0),41,神代　慶人,熊本,J2,-1.17
万能型(C0),42,藤本　佳希,愛媛,J2/J3,-1.24
万能型(C0),43,ラザル　ロマニッチ,川崎Ｆ,J1,-1.25
万能型(C0),44,小川　慶治朗,富山,J2/J3,-1.26
万能型(C0),45,藤井　一志,甲府,J2/J3,-1.34
万能型(C0),46,ナ　サンホ,町田,J1,-1.34
万能型(C0),47,河田　篤秀,高知,J2/J3,-1.53
万能型(C0),48,オウイエ　ウイリアム,いわき,J2/J3,-1.54
万能型(C0),49,鈴木　武蔵,栃木Ｃ,J2/J3,-1.66
万能型(C0),50,田中　想来,松本,J2/J3,-1.69
万能型(C0),51,新川　志音,鳥栖,J2,-1.73
万能型(C0),52,仲川　輝人,FC東京,J1,-1.74
万能型(C0),53,齋藤　恵太,栃木Ｃ,J2/J3,-1.81
万能型(C0),54,和田　育,FC大阪,J2/J3,-1.88
万能型(C0),55,河辺　駿太郎,北九州,J2/J3,-1.97
万能型(C0),56,川本　梨誉,岐阜,J2/J3,-1.98
万能型(C0),57,中野　誠也,八戸,J2/J3,-1.99
万能型(C0),58,加藤　大晟,いわき,J2/J3,-2.16
万能型(C0),59,松田　力,富山,J2,-2.17
万能型(C0),60,千葉　寛汰,清水,J1,-2.22
万能型(C0),61,菅原　龍之助,FC大阪,J2/J3,-2.22
万能型(C0),62,一美　和成,岡山,J1,-2.24
万能型(C0),63,木村　勇大,名古屋,J1,-2.36
万能型(C0),64,林　誠道,今治,J2/J3,-2.36
万能型(C0),65,屋敷　優成,大分,J2/J3,-2.52
万能型(C0),66,安藤　翼,相模原,J2/J3,-2.64
万能型(C0),67,小田　裕太郎,湘南,J1,-2.69
万能型(C0),68,藤尾　翔太,町田,J1,-2.69
万能型(C0),69,佐藤　颯之介,福岡,J1,-2.77
万能型(C0),70,マテウス　カストロ,名古屋,J1,-2.85
万能型(C0),71,ジョルディ　サンチェス,札幌,J2,-2.9
万能型(C0),72,丹羽　詩温,讃岐,J3,-2.94
万能型(C0),73,マテウス　レイリア,水戸,J1,-2.98
