チーム名,Pos,選手名,大会,試合日,節,相手チーム名,結果,PA進入,PA進入3プレー以内得点,PA進入3プレー以内シュート,ニアゾーン進入,左ニアゾーン進入,右ニアゾーン進入,セットプレーによるPA進入,PA脇進入,PA左脇進入,PA右脇進入,30m進入
札幌,GK,田川　知樹,J2/J3 100,20260208,1,いわき,● 0 - 1,0,0,0,0,0,0,0,0,0,0,0
札幌,GK,田川　知樹,J2/J3 100,20260214,2,大宮,● 2 - 3,0,0,0,0,0,0,0,0,0,0,0
札幌,GK,田川　知樹,J2/J3 100,20260221,3,長野,○ 1 - 1 (PK : 5 - 4),0,0,0,0,0,0,0,0,0,0,1
札幌,GK,田川　知樹,J2/J3 100,20260228,4,岐阜,● 1 - 2,0,0,0,0,0,0,0,0,0,0,1
札幌,GK,田川　知樹,J2/J3 100,20260307,5,松本,● 0 - 3,0,0,0,0,0,0,0,0,0,0,0
札幌,GK,田川　知樹,J2/J3 100,20260314,6,磐田,○ 1 - 0,0,0,0,0,0,0,0,0,0,0,0
札幌,DF,福森　晃斗,J2/J3 100,20260208,1,いわき,● 0 - 1,0,0,0,0,0,0,0,0,0,0,5
札幌,DF,福森　晃斗,J2/J3 100,20260214,2,大宮,● 2 - 3,5,0,2,3,3,0,5,2,2,0,3
札幌,DF,福森　晃斗,J2/J3 100,20260221,3,長野,○ 1 - 1 (PK : 5 - 4),1,0,1,1,0,1,3,1,0,1,4
札幌,DF,福森　晃斗,J2/J3 100,20260228,4,岐阜,● 1 - 2,3,0,0,3,1,2,4,1,0,1,6
札幌,DF,福森　晃斗,J2/J3 100,20260307,5,松本,● 0 - 3,0,0,0,0,0,0,2,1,0,1,3
札幌,DF,福森　晃斗,J2/J3 100,20260314,6,磐田,○ 1 - 0,1,0,1,0,0,0,0,0,0,0,1
札幌,DF,大﨑　玲央,J2/J3 100,20260228,4,岐阜,● 1 - 2,0,0,0,0,0,0,0,0,0,0,0
札幌,DF,パク　ミンギュ,J2/J3 100,20260214,2,大宮,● 2 - 3,2,1,1,2,2,0,1,1,1,0,4
札幌,DF,パク　ミンギュ,J2/J3 100,20260221,3,長野,○ 1 - 1 (PK : 5 - 4),2,0,2,0,0,0,0,1,1,0,4
札幌,DF,パク　ミンギュ,J2/J3 100,20260228,4,岐阜,● 1 - 2,1,0,1,0,0,0,0,0,0,0,4
札幌,DF,パク　ミンギュ,J2/J3 100,20260307,5,松本,● 0 - 3,0,0,0,0,0,0,0,2,2,0,2
札幌,DF,パク　ミンギュ,J2/J3 100,20260314,6,磐田,○ 1 - 0,0,0,0,0,0,0,0,1,1,0,1
札幌,DF,髙尾　瑠,J2/J3 100,20260208,1,いわき,● 0 - 1,3,0,2,1,0,1,0,1,0,1,3
札幌,DF,髙尾　瑠,J2/J3 100,20260214,2,大宮,● 2 - 3,2,0,0,1,0,1,0,2,0,2,3
札幌,DF,髙尾　瑠,J2/J3 100,20260221,3,長野,○ 1 - 1 (PK : 5 - 4),2,0,0,2,0,2,0,2,0,2,7
札幌,DF,髙尾　瑠,J2/J3 100,20260228,4,岐阜,● 1 - 2,3,0,2,3,0,3,0,3,0,3,1
札幌,DF,髙尾　瑠,J2/J3 100,20260307,5,松本,● 0 - 3,2,0,1,1,0,1,0,4,0,4,7
札幌,DF,髙尾　瑠,J2/J3 100,20260314,6,磐田,○ 1 - 0,1,1,1,1,0,1,0,1,0,1,6
札幌,DF,浦上　仁騎,J2/J3 100,20260228,4,岐阜,● 1 - 2,0,0,0,0,0,0,0,0,0,0,1
札幌,DF,浦上　仁騎,J2/J3 100,20260307,5,松本,● 0 - 3,0,0,0,0,0,0,0,0,0,0,0
札幌,DF,西野　奨太,J2/J3 100,20260208,1,いわき,● 0 - 1,0,0,0,0,0,0,0,0,0,0,4
